pincode,households
210428,18462
210429,23806
210430,18462
210431,18462
210432,18462
210433,23806
210501,18462
210502,18462
210504,18462
210505,18462
210506,18462
210507,18462
211001,24063
211002,24063
211003,24063
211004,24063
211006,24063
211007,24063
211008,24063
211010,24063
211011,24063
211012,24063
211013,24063
211015,24063
211016,24063
211019,24063
212104,24063
212106,24063
212107,24063
212108,24063
212109,24063
212111,24063
212201,31559
212202,31559
212203,31559
212204,31559
212205,31559
212206,31559
212207,31559
212208,24063
212213,24063
212214,31559
212216,31559
212217,31559
212218,31559
212301,24063
212302,24063
212303,24063
212305,24063
212306,24063
212307,24063
212401,24063
212402,24063
212404,24063
212405,24063
212502,24063
212503,24063
212507,24063
212601,26015
212620,26015
212621,26015
212622,26015
212631,26015
212635,26015
212641,26015
212645,26015
212650,26015
212651,26015
212652,26015
212653,26015
212654,26015
212655,26015
212656,26015
212657,26015
212658,26015
212659,26015
212661,26015
212663,26015
212664,26015
212665,26015
221001,24257
221002,24257
221003,24257
221004,24257
221005,24257
221006,24257
221007,24257
221008,24257
221009,20204
221010,24257
221011,24257
221101,24257
221103,24257
221104,24257
221105,24257
221106,24257
221107,24257
221108,24257
221110,24257
221112,24257
221115,20204
221116,24257
221201,24257
221202,24257
221204,24257
221206,24257
221207,24257
221208,24257
221301,24063
221302,24257
221303,24063
221304,24063
221305,24257
221306,24063
221307,24257
221308,24063
221309,24063
221310,24063
221311,24257
221313,24257
221314,24063
221401,24063
221402,24063
221403,24257
221404,24063
221405,24257
221406,24063
221409,24063
221502,24063
221503,24063
221505,24063
221507,24063
221508,24063
221601,23969
221602,23969
221603,23969
221701,17969
221705,23969
221706,23969
221709,17969
221711,17969
221712,17969
221713,17969
221715,17969
221716,17969
221717,17969
221718,17969
222001,23733
222002,23733
222003,23733
222105,23733
222109,23733
222125,23733
222127,23733
222128,23733
222129,23733
222131,23733
222132,23733
222133,23733
222135,23733
222136,23733
222137,23733
222138,23733
222139,23733
222141,23733
222142,23733
222143,23733
222144,23733
222145,23733
222146,23733
222148,23733
222149,23733
222161,23733
222162,23733
222165,23733
222170,23733
222175,23733
222180,23733
222181,23733
222201,23733
222202,23733
222203,23733
222204,23733
222301,19417
222302,19417
222303,19417
223101,23733
223102,23733
223103,23733
223104,23733
223105,23733
223221,23339
223222,23339
223223,23339
223224,23339
223225,23339
223226,23339
223227,23339
224001,24063
224121,24063
224122,13371
224123,24063
224125,13371
224126,24063
224127,24063
224129,13371
224132,13371
224133,13371
224135,24063
224137,13371
224139,13371
224141,24063
224143,13371
224145,13371
224146,13371
224147,13371
224149,13371
224151,13371
224152,13371
224153,24063
224155,13371
224157,13371
224158,24063
224159,13371
224161,24063
224164,24063
224168,13371
224171,13371
224172,13371
224176,13371
224181,13371
224182,24063
224183,13371
224186,13371
224188,24063
224189,13371
224190,13371
224195,13371
224201,24063
224202,13371
224203,13371
224204,24063
224205,13371
224206,13371
224207,24063
224208,24063
224209,24063
224210,13371
224225,24063
224227,13371
224228,24063
224229,24063
224230,13371
224231,13371
224232,13371
224234,13371
224235,13371
224238,13371
224284,24063
226001,33897
226002,23502
226003,23502
226004,23502
226005,23502
226006,23502
226007,23502
226008,23502
226009,23502
226010,23502
226011,23502
226012,23502
226013,23502
226014,23502
226015,23502
226016,23502
226017,23502
226018,23502
226019,23502
226020,23502
226021,23502
226022,23502
226023,23502
226024,23502
226025,23502
226026,23502
226028,23502
226029,23502
226030,23502
226031,23502
226101,23502
226102,23502
226103,23502
226104,23502
226201,23502
226202,23502
226203,23502
226301,23502
226302,23502
226303,23502
226401,23502
226501,23502
227304,19417
227405,19417
227406,19417
227407,19417
227408,19417
227409,19417
227411,19417
227412,19417
227413,19417
227801,19417
227805,19417
227806,19417
227807,19417
227808,19417
227809,19417
227811,19417
227812,19417
227813,19417
227814,19417
227815,19417
227816,19417
227817,19417
228001,19417
228118,19417
228119,19417
228120,19417
228121,19417
228125,19417
228131,19417
228132,19417
228133,19417
228141,28006
228142,19417
228145,19417
228151,19417
228155,19417
228159,19417
228161,19417
228171,19417
229001,740001
229408,11984
229410,11984
229411,24063
229412,24063
229413,24063
230001,17526
230002,17526
230121,17526
230124,17526
230125,17526
230126,17526
230127,17526
230128,17526
230129,17526
230130,17526
230131,17526
230132,17526
230133,17526
230134,17526
230135,17526
230136,17526
230137,17526
230138,17526
230139,17526
230141,17526
230142,17526
230143,17526
230144,17526
230201,17526
230202,17526
230204,17526
230301,17526
230302,17526
230304,17526
230306,17526
230401,17526
230402,17526
230403,17526
230404,17526
230405,17526
230501,17526
230502,17526
230503,17526
231001,33893
231205,21311
231206,21311
231207,21311
231208,21311
231209,21311
231210,33893
231211,33893
231212,21311
231213,21311
231215,21311
231216,21311
231217,21311
231218,21311
231219,21311
231220,21311
231221,21311
231222,21311
231223,21311
231224,21311
231225,21311
231226,21311
231301,33893
231302,33893
231303,33893
231304,33893
231305,33893
231306,33893
231307,33893
231309,33893
231311,33893
231312,33893
231313,33893
231314,33893
231501,33893
232101,29546
232102,29546
232103,29546
232104,29546
232105,29546
232106,29546
232107,29546
232108,29546
232109,29546
232110,29546
232111,29546
232118,29546
232120,29546
232325,19485
232326,19485
232327,19485
232328,19485
232329,19485
232330,19485
232331,19485
232332,19485
232333,19485
232336,19485
232339,19485
232340,19485
233001,19485
233002,19485
233221,19485
233222,19485
233223,19485
233224,19485
233225,19485
233226,19485
233227,19485
233228,19485
233229,19485
233230,19485
233231,19485
233232,19485
233233,19485
233300,19485
233301,19485
233302,19485
233303,19485
233304,19485
233305,19485
233306,19485
233307,19485
233310,19485
233311,19485
241001,37060
241121,37060
241122,37060
241123,37060
241124,37060
241125,37060
241126,37060
241127,37060
241201,37060
241202,37060
241203,37060
241204,37060
241301,37060
241302,37060
241303,37060
241304,37060
241305,37060
241401,37060
241402,37060
241403,37060
241404,37060
241405,37060
241406,37060
241407,37060
242001,40793
242021,38434
242042,40793
242127,40793
242220,40793
242221,40793
242223,40793
242226,40793
242301,40793
242303,40793
242305,40793
242306,40793
242307,40793
242401,40793
242405,40793
242406,40793
242407,40793
243001,37336
243002,37336
243003,37336
243004,37336
243005,37336
243006,37336
243122,37336
243123,37336
243126,37336
243201,37336
243202,37336
243203,37336
243301,37336
243302,37336
243303,37336
243401,37336
243402,37336
243403,37336
243407,37336
243501,37336
243502,37336
243503,37336
243504,37336
243505,37336
243506,37336
243601,38434
243630,38434
243631,38434
243632,38434
243633,38434
243634,38434
243635,38434
243636,38434
243637,38434
243638,38434
243639,38434
243641,38434
243720,38434
243722,38434
243723,38434
243724,38434
243725,38434
243726,38434
243727,38434
243751,38434
244001,76976
244102,53370
244103,53370
244104,53370
244221,24063
244222,24063
244223,24063
244225,24063
244231,24063
244235,24063
244236,24063
244241,24063
244242,24063
244245,24063
244251,24063
244255,24063
244301,53370
244302,53370
244303,53370
244304,53370
244401,53370
244402,53370
244410,53370
244411,53370
244412,53370
244413,53370
244414,53370
244415,53370
244501,24063
244504,53370
244601,53370
244602,53370
244701,50770
244901,50770
244921,50770
244922,50770
244923,50770
244924,50770
244925,50770
244926,50770
244927,50770
244928,50770
245101,18885
245201,38936
245205,38936
245206,38399
245207,38936
245208,38936
245301,18885
245304,38936
246439,51491
246488,85025
246701,32765
246721,32765
246722,32765
246723,32765
246724,32765
246725,32765
246726,32765
246727,32765
246728,32765
246729,32765
246731,32765
246732,32765
246733,32765
246734,32765
246735,32765
246736,32765
246745,32765
246746,32765
246747,32765
246749,32765
246761,32765
246762,47257
246763,32765
246764,32765
247001,46279
247002,39267
247120,39267
247121,39267
247122,39267
247129,39267
247231,39267
247232,39267
247340,39267
247341,39267
247342,39267
247343,39267
247451,39267
247452,39267
247453,39267
247551,39267
247554,39267
247662,39267
247669,39267
247771,31290
247772,31290
247773,31290
247774,31290
247775,31290
247776,31290
247777,31290
247778,31290
248159,369252
249131,134002
249401,418919
250001,55383
250002,22853
250004,18624
250005,18624
250101,141539
250103,38399
250104,38399
250106,38399
250110,20470
250205,18747
250221,38399
250222,38399
250223,18747
250341,38399
250342,38399
250344,38399
250401,38399
250402,38399
250404,38399
250406,38399
250501,38399
250502,38399
250601,141539
251001,23569
251002,31290
251003,31290
251201,31290
251202,31290
251203,31290
251301,31290
251305,31290
251306,31290
251307,31290
251308,31290
251309,31290
251310,31290
251311,31290
251314,31290
251315,31290
251316,31290
251318,31290
251319,31290
251320,31290
251327,31290
261001,38908
261121,38908
261125,38908
261131,38908
261135,38908
261136,38908
261141,38908
261145,38908
261151,38908
261201,38908
261202,38908
261203,38908
261204,38908
261205,38908
261206,38908
261207,38908
261208,38908
261301,38908
261302,38908
261303,38908
261401,38908
261402,38908
261403,38908
261404,38908
261405,38908
261501,24063
261502,24063
261505,24063
261506,24063
262001,49208
262121,49208
262122,49208
262124,49208
262201,49208
262202,49208
262203,49208
262302,49208
262305,49208
262406,37336
262701,24063
262702,24063
262721,24063
262722,24063
262723,24063
262724,24063
262725,24063
262726,24063
262727,24063
262728,24063
262801,24063
262802,24063
262803,24063
262804,24063
262805,24063
262901,24063
262902,24063
262903,24063
262904,24063
262905,24063
262906,24063
262907,24063
262908,24063
263145,358341
271001,24063
271002,24063
271003,24063
271122,24063
271123,24063
271124,24063
271125,24063
271126,24063
271129,24063
271201,31146
271202,24063
271203,31146
271204,31146
271205,31146
271206,31146
271207,31146
271208,31146
271209,24063
271210,31146
271215,31146
271301,24063
271302,24063
271303,24063
271304,24063
271305,24063
271306,31146
271307,31146
271309,24063
271310,24063
271311,24063
271312,24063
271313,24063
271319,24063
271401,24063
271402,24063
271403,24063
271502,24063
271503,24063
271504,24063
271601,24063
271602,24063
271603,24063
271604,31146
271607,31146
271609,31146
271801,25916
271802,25916
271803,24063
271804,24063
