pincode,name,lat,lng,psu_branch_count,mpce_combined,hces_ppi,state,district
110093,110093,28.6998,77.30529999999999,10.0,10441.0,52.6,NCT OF DELHI,SHAHDARA
110094,110094,28.705105,77.28068999999999,15.0,10441.0,52.6,NCT OF DELHI,NORTH-EAST DELHI
110095,110095,28.67872,77.31717,30.0,10441.0,52.6,NCT OF DELHI,SHAHDARA
110096,110096,28.611964999999998,77.32043,18.0,10441.0,52.6,NCT OF DELHI,EAST DELHI
110097,110097,28.5265,77.088345,,13844.0,74.4,DELHI,SOUTH WEST
121001,121001,28.399875,77.28830500000001,53.0,14158.0,76.4,HARYANA,FARIDABAD
121002,121002,28.428545,77.37264,26.0,14158.0,76.4,HARYANA,FARIDABAD
121003,121003,28.464615000000002,77.326955,17.0,14158.0,76.4,HARYANA,FARIDABAD
121004,121004,28.309055,77.325805,52.0,14158.0,76.4,HARYANA,FARIDABAD
121005,121005,28.362825,77.285255,8.0,14158.0,76.4,HARYANA,FARIDABAD
121006,121006,28.362715,77.34415,8.0,14158.0,76.4,HARYANA,FARIDABAD
121007,121007,28.394365,77.34044,12.0,14158.0,76.4,HARYANA,FARIDABAD
121008,121008,28.433335,77.31762,2.0,14158.0,76.4,HARYANA,FARIDABAD
121009,121009,28.484560000000002,77.28743,4.0,14158.0,76.4,HARYANA,FARIDABAD
121010,121010,28.454815,77.293605,2.0,14158.0,76.4,HARYANA,FARIDABAD
121012,121012,28.423360000000002,77.291015,3.0,14158.0,76.4,HARYANA,FARIDABAD
121013,121013,28.476284999999997,77.3339,,14158.0,76.4,HARYANA,FARIDABAD
121101,121101,28.360635000000002,77.422135,5.0,14158.0,76.4,HARYANA,FARIDABAD
121102,121102,28.163525,77.33202,33.0,14158.0,76.4,HARYANA,PALWAL
121103,121103,28.044025,77.21421000000001,7.0,14158.0,76.4,HARYANA,PALWAL
121105,121105,28.003954999999998,77.33704,5.0,14158.0,76.4,HARYANA,PALWAL
121106,121106,27.925685,77.343455,7.0,14158.0,76.4,HARYANA,PALWAL
121107,121107,27.956395,77.47984,5.0,14158.0,76.4,HARYANA,PALWAL
122001,122001,28.45976,77.025915,114.0,15397.0,84.4,HARYANA,GURUGRAM
122002,122002,28.48487,77.09278,41.0,15397.0,84.4,HARYANA,GURUGRAM
122003,122003,28.44133,77.10186,17.0,15397.0,84.4,HARYANA,GURUGRAM
122004,122004,28.4223,77.0026,9.0,15397.0,84.4,HARYANA,GURUGRAM
122005,122005,28.487425,77.04354000000001,,15397.0,84.4,HARYANA,GURGAON
122006,122006,28.466805,76.99331000000001,7.0,15397.0,84.4,HARYANA,GURUGRAM
122007,122007,28.474265,77.051185,2.0,15397.0,84.4,HARYANA,NUH
122008,122008,28.387216000000002,77.085571,,15397.0,84.4,HARYANA,GURGAON
122009,122009,28.458355,77.092955,4.0,15397.0,84.4,HARYANA,GURUGRAM
122011,122011,28.42341,77.09889,7.0,15397.0,84.4,HARYANA,GURUGRAM
122012,122012,28.37422,76.963705,3.0,,,HARYANA,GURUGRAM
122015,122015,28.49246,77.066595,7.0,15397.0,84.4,HARYANA,GURUGRAM
122016,122016,28.50786,77.07832,9.0,15397.0,84.4,HARYANA,GURUGRAM
122017,122017,28.517985,77.03068,18.0,15397.0,84.4,HARYANA,GURUGRAM
122018,122018,28.420524999999998,77.050525,12.0,15397.0,84.4,HARYANA,GURUGRAM
122022,122022,28.4407712,77.096502,,15397.0,84.4,HARYANA,GURGAON
122051,122051,28.34694,76.92131,10.0,15397.0,84.4,HARYANA,GURUGRAM
122052,122052,28.349539999999998,76.92042000000001,3.0,15397.0,84.4,HARYANA,GURUGRAM
122101,122101,28.37578,77.06409,12.0,15397.0,84.4,HARYANA,GURUGRAM
122102,122102,28.32351,77.07192,10.0,15397.0,84.4,HARYANA,GURUGRAM
122103,122103,28.217865,77.130485,15.0,15397.0,84.4,HARYANA,GURUGRAM
122104,122104,27.752925,76.98857000000001,3.0,15397.0,84.4,HARYANA,NUH
122105,122105,28.227539999999998,76.944155,7.0,15397.0,84.4,HARYANA,NUH
122107,122107,28.07432,77.053775,15.0,15397.0,84.4,HARYANA,NUH
122108,122108,27.904114999999997,77.01343,1.0,15397.0,84.4,HARYANA,NUH
122413,122413,28.29088,76.85466,4.0,15397.0,84.4,HARYANA,GURUGRAM
122414,122414,28.277205000000002,76.742075,,15397.0,84.4,HARYANA,GURGAON
122502,122502,28.27691,76.68943999999999,1.0,15397.0,84.4,HARYANA,REWARI
122503,122503,28.32707,76.829725,14.0,15397.0,84.4,HARYANA,GURUGRAM
122504,122504,28.38897,76.738405,,15397.0,84.4,HARYANA,GURGAON
122505,122505,28.446665,76.92586,18.0,15397.0,84.4,HARYANA,GURUGRAM
122506,122506,28.437165,76.79792,5.0,15397.0,84.4,HARYANA,GURUGRAM
122508,122508,27.878055,77.20071,8.0,15397.0,84.4,HARYANA,NUH
123001,123001,28.039985,76.07454,26.0,5315.0,19.7,HARYANA,MAHENDRAGARH
123021,123021,28.12284,76.258745,8.0,5315.0,19.7,HARYANA,MAHENDRAGARH
123023,123023,27.890255000000003,76.09644,3.0,5315.0,19.7,HARYANA,MAHENDRAGARH
123024,123024,28.35866,75.98929,2.0,5315.0,19.7,HARYANA,MAHENDRAGARH
123027,123027,28.355890000000002,76.282715,9.0,5315.0,19.7,HARYANA,MAHENDRAGARH
123028,123028,28.17422,76.13155499999999,2.0,5315.0,19.7,HARYANA,MAHENDRAGARH
123029,123029,28.31064,76.113935,20.0,5315.0,19.7,HARYANA,MAHENDRAGARH
123034,123034,28.28374,76.265545,1.0,5508.0,20.9,HARYANA,MAHENDRAGARH
123035,123035,28.361465000000003,76.62418500000001,2.0,5508.0,20.9,HARYANA,REWARI
123101,123101,28.195014999999998,76.485355,2.0,5508.0,20.9,HARYANA,REWARI
123102,123102,28.1689,76.386945,3.0,5508.0,20.9,HARYANA,REWARI
123103,123103,28.218865,76.39436,1.0,5508.0,20.9,HARYANA,REWARI
123106,123106,28.1684,76.77033,11.0,5508.0,20.9,HARYANA,REWARI
123110,123110,28.23004,76.80239,,5508.0,20.9,HARYANA,REWARI
123301,123301,28.371465,76.56602000000001,,5508.0,20.9,HARYANA,REWARI
123302,123302,28.398195,76.48034,5.0,5508.0,20.9,HARYANA,REWARI
123303,123303,28.423955,76.3671,2.0,5315.0,19.7,HARYANA,REWARI
123308,123308,28.461056,75.972835,1.0,,,HARYANA,CHARKI DADRI
123401,123401,28.19903,76.581525,39.0,5508.0,20.9,HARYANA,REWARI
123411,123411,28.30867,76.430105,4.0,5508.0,20.9,HARYANA,REWARI
123412,123412,28.103485,76.497365,,,,HARYANA,BAWAL
123501,123501,28.042830000000002,76.592635,12.0,,,HARYANA,REWARI
123502,123502,28.239842,76.67444,1.0,,,HARYANA,REWARI
124001,124001,28.90313,76.59809999999999,79.0,7036.0,30.7,HARYANA,ROHTAK
124010,124010,28.847155,76.57218499999999,,7036.0,30.7,HARYANA,ROHTAK
124021,124021,28.854055,76.644495,2.0,7036.0,30.7,HARYANA,ROHTAK
124022,124022,28.888665000000003,76.4547,1.0,7036.0,30.7,HARYANA,ROHTAK
124102,124102,28.68902,76.64938000000001,2.0,5664.0,21.9,HIMACHAL PRADESH,KANGRA
124103,124103,28.568685000000002,76.66751500000001,20.0,5664.0,21.9,HARYANA,JHAJJAR
124104,124104,28.607865,76.72769,1.0,5664.0,21.9,HARYANA,JHAJJAR
124105,124105,28.573999999999998,76.815355,8.0,5664.0,21.9,HARYANA,JHAJJAR
124106,124106,28.58092,76.45990499999999,2.0,5664.0,21.9,HARYANA,JHAJJAR
