postal_district,state,hces_district,match_method,score
Udaipur,RAJASTHAN,UDAIPUR,exact,1.0
Jalor,RAJASTHAN,JALOR,exact,1.0
Bhilwara,RAJASTHAN,BHILWARA,exact,1.0
Chittorgarh,RAJASTHAN,CHITTAURGARH,fuzzy,0.87
Dungarpur,RAJASTHAN,DUNGARPUR,exact,1.0
Bharatpur,RAJASTHAN,BHARATPUR,exact,1.0
Karauli,RAJASTHAN,KARAULI,exact,1.0
Sawai Madhopur,RAJASTHAN,SAWAI MADHOPUR,exact,1.0
Bundi,RAJASTHAN,BUNDI,exact,1.0
Kota,RAJASTHAN,KOTA,exact,1.0
Baran,RAJASTHAN,BARAN,exact,1.0
Jhalawar,RAJASTHAN,JHALAWAR,exact,1.0
Banswara,RAJASTHAN,BANSWARA,exact,1.0
Dholpur,RAJASTHAN,DHAULPUR,verified_manual,0.8
Churu,RAJASTHAN,CHURU,exact,1.0
Sikar,RAJASTHAN,SIKAR,exact,1.0
Jhujhunu,RAJASTHAN,JHUNJHUNUNU,fuzzy,0.842
Bikaner,RAJASTHAN,BIKANER,exact,1.0
Ganganagar,RAJASTHAN,GANGANAGAR,exact,1.0
Hanumangarh,RAJASTHAN,HANUMANGARH,exact,1.0
Jodhpur,RAJASTHAN,JODHPUR,exact,1.0
Jaisalmer,RAJASTHAN,JAISALMER,exact,1.0
Barmer,RAJASTHAN,BARMER,exact,1.0
Rajkot,GUJARAT,RAJKOT,exact,1.0
Jamnagar,GUJARAT,JAMNAGAR,exact,1.0
Porbandar,GUJARAT,PORBANDAR,exact,1.0
Junagadh,GUJARAT,JUNAGADH,exact,1.0
Diu,DAMAN & DIU,,no_hces_state,0.0
Amreli,GUJARAT,AMRELI,exact,1.0
Surendra Nagar,GUJARAT,SURENDRANAGAR,fuzzy,0.963
Bhavnagar,GUJARAT,BHAVNAGAR,exact,1.0
Kachchh,GUJARAT,KACHCHH,exact,1.0
Ahmedabad,GUJARAT,AHMADABAD,fuzzy,0.889
Gandhi Nagar,GUJARAT,GANDHINAGAR,fuzzy,0.957
Mahesana,GUJARAT,MAHESANA,exact,1.0
Sabarkantha,GUJARAT,SABAR KANTHA,fuzzy,0.957
Patan,GUJARAT,PATAN,exact,1.0
Banaskantha,GUJARAT,BANAS KANTHA,fuzzy,0.957
Kheda,GUJARAT,KHEDA,exact,1.0
Anand,GUJARAT,ANAND,exact,1.0
Panch Mahals,GUJARAT,PANCH MAHALS,exact,1.0
Dahod,GUJARAT,,unmatched,0.0
Vadodara,GUJARAT,VADODARA,exact,1.0
Narmada,GUJARAT,NARMADA,exact,1.0
Bharuch,GUJARAT,BHARUCH,exact,1.0
Surat,GUJARAT,SURAT,exact,1.0
The Dangs,GUJARAT,THE DANGS,exact,1.0
Valsad,GUJARAT,VALSAD,exact,1.0
Navsari,GUJARAT,NAVSARI,exact,1.0
Daman,DAMAN & DIU,,no_hces_state,0.0
Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,,no_hces_state,0.0
Mumbai,MAHARASHTRA,,unmatched,0.0
Thane,MAHARASHTRA,THANE,exact,1.0
Raigarh(MH),MAHARASHTRA,RAIGARH,fuzzy,0.824
North Goa,GOA,NORTH GOA,exact,1.0
South Goa,GOA,SOUTH GOA,exact,1.0
Pune,MAHARASHTRA,PUNE,exact,1.0
