pincode,district,state_name,state_code
742140,Murshidabad,West Bengal,WB
742147,Murshidabad,West Bengal,WB
742148,Murshidabad,West Bengal,WB
742149,Murshidabad,West Bengal,WB
742151,Murshidabad,West Bengal,WB
742159,Murshidabad,West Bengal,WB
742160,Murshidabad,West Bengal,WB
742161,Murshidabad,West Bengal,WB
742163,Murshidabad,West Bengal,WB
742164,Murshidabad,West Bengal,WB
742165,Murshidabad,West Bengal,WB
742166,Murshidabad,West Bengal,WB
742168,Murshidabad,West Bengal,WB
742174,Murshidabad,West Bengal,WB
742175,Murshidabad,West Bengal,WB
742184,Murshidabad,West Bengal,WB
742187,Murshidabad,West Bengal,WB
742189,Murshidabad,West Bengal,WB
742201,Murshidabad,West Bengal,WB
742202,Murshidabad,West Bengal,WB
742212,Murshidabad,West Bengal,WB
742213,Murshidabad,West Bengal,WB
742223,Murshidabad,West Bengal,WB
742224,Murshidabad,West Bengal,WB
742225,Murshidabad,West Bengal,WB
742226,Murshidabad,West Bengal,WB
742227,Murshidabad,West Bengal,WB
742235,Murshidabad,West Bengal,WB
742236,Murshidabad,West Bengal,WB
742237,Murshidabad,West Bengal,WB
742238,Murshidabad,West Bengal,WB
742301,Murshidabad,West Bengal,WB
742302,Murshidabad,West Bengal,WB
742303,Murshidabad,West Bengal,WB
742304,Murshidabad,West Bengal,WB
742305,Murshidabad,West Bengal,WB
742306,Murshidabad,West Bengal,WB
742308,Murshidabad,West Bengal,WB
742401,Murshidabad,West Bengal,WB
742402,Murshidabad,West Bengal,WB
742404,Murshidabad,West Bengal,WB
742405,Murshidabad,West Bengal,WB
742406,Murshidabad,West Bengal,WB
742407,Murshidabad,West Bengal,WB
742408,Murshidabad,West Bengal,WB
742409,Murshidabad,West Bengal,WB
743122,North 24 Parganas,West Bengal,WB
743123,North 24 Parganas,West Bengal,WB
743124,North 24 Parganas,West Bengal,WB
743125,North 24 Parganas,West Bengal,WB
743126,North 24 Parganas,West Bengal,WB
743127,North 24 Parganas,West Bengal,WB
743128,North 24 Parganas,West Bengal,WB
743129,North 24 Parganas,West Bengal,WB
743130,North 24 Parganas,West Bengal,WB
743133,North 24 Parganas,West Bengal,WB
743134,North 24 Parganas,West Bengal,WB
743135,North 24 Parganas,West Bengal,WB
743136,North 24 Parganas,West Bengal,WB
743144,North 24 Parganas,West Bengal,WB
743145,North 24 Parganas,West Bengal,WB
743165,North 24 Parganas,West Bengal,WB
743166,North 24 Parganas,West Bengal,WB
743193,North 24 Parganas,West Bengal,WB
743194,North 24 Parganas,West Bengal,WB
743221,North 24 Parganas,West Bengal,WB
743222,North 24 Parganas,West Bengal,WB
743223,North 24 Parganas,West Bengal,WB
743232,North 24 Parganas,West Bengal,WB
743233,North 24 Parganas,West Bengal,WB
743234,North 24 Parganas,West Bengal,WB
743235,North 24 Parganas,West Bengal,WB
743245,North 24 Parganas,West Bengal,WB
743247,North 24 Parganas,West Bengal,WB
743248,North 24 Parganas,West Bengal,WB
743249,North 24 Parganas,West Bengal,WB
743251,North 24 Parganas,West Bengal,WB
743252,North 24 Parganas,West Bengal,WB
743262,North 24 Parganas,West Bengal,WB
743263,North 24 Parganas,West Bengal,WB
743268,North 24 Parganas,West Bengal,WB
743270,North 24 Parganas,West Bengal,WB
743271,North 24 Parganas,West Bengal,WB
743272,North 24 Parganas,West Bengal,WB
743273,North 24 Parganas,West Bengal,WB
743286,North 24 Parganas,West Bengal,WB
743287,North 24 Parganas,West Bengal,WB
743289,North 24 Parganas,West Bengal,WB
743290,North 24 Parganas,West Bengal,WB
743291,North 24 Parganas,West Bengal,WB
743292,North 24 Parganas,West Bengal,WB
743293,North 24 Parganas,West Bengal,WB
743294,North 24 Parganas,West Bengal,WB
743297,North 24 Parganas,West Bengal,WB
743312,South 24 Parganas,West Bengal,WB
743318,South 24 Parganas,West Bengal,WB
743329,South 24 Parganas,West Bengal,WB
743330,South 24 Parganas,West Bengal,WB
743331,South 24 Parganas,West Bengal,WB
743332,South 24 Parganas,West Bengal,WB
743336,South 24 Parganas,West Bengal,WB
743337,South 24 Parganas,West Bengal,WB
743338,South 24 Parganas,West Bengal,WB
743345,South 24 Parganas,West Bengal,WB
743347,South 24 Parganas,West Bengal,WB
743348,South 24 Parganas,West Bengal,WB
743349,South 24 Parganas,West Bengal,WB
743351,South 24 Parganas,West Bengal,WB
743354,South 24 Parganas,West Bengal,WB
743355,South 24 Parganas,West Bengal,WB
743356,South 24 Parganas,West Bengal,WB
743357,South 24 Parganas,West Bengal,WB
743363,South 24 Parganas,West Bengal,WB
743368,South 24 Parganas,West Bengal,WB
743370,South 24 Parganas,West Bengal,WB
743371,South 24 Parganas,West Bengal,WB
743372,South 24 Parganas,West Bengal,WB
743373,South 24 Parganas,West Bengal,WB
743374,South 24 Parganas,West Bengal,WB
743375,South 24 Parganas,West Bengal,WB
743376,South 24 Parganas,West Bengal,WB
743377,South 24 Parganas,West Bengal,WB
743378,South 24 Parganas,West Bengal,WB
743383,South 24 Parganas,West Bengal,WB
743387,South 24 Parganas,West Bengal,WB
743395,South 24 Parganas,West Bengal,WB
743399,South 24 Parganas,West Bengal,WB
743401,North 24 Parganas,West Bengal,WB
743405,North 24 Parganas,West Bengal,WB
743411,North 24 Parganas,West Bengal,WB
743412,North 24 Parganas,West Bengal,WB
743422,North 24 Parganas,West Bengal,WB
743423,North 24 Parganas,West Bengal,WB
743424,North 24 Parganas,West Bengal,WB
743425,North 24 Parganas,West Bengal,WB
743426,North 24 Parganas,West Bengal,WB
743427,North 24 Parganas,West Bengal,WB
743428,North 24 Parganas,West Bengal,WB
743429,North 24 Parganas,West Bengal,WB
743435,North 24 Parganas,West Bengal,WB
743437,North 24 Parganas,West Bengal,WB
743438,North 24 Parganas,West Bengal,WB
743439,North 24 Parganas,West Bengal,WB
743442,North 24 Parganas,West Bengal,WB
743445,North 24 Parganas,West Bengal,WB
743446,North 24 Parganas,West Bengal,WB
743456,North 24 Parganas,West Bengal,WB
743502,South 24 Parganas,West Bengal,WB
743503,South 24 Parganas,West Bengal,WB
743504,South 24 Parganas,West Bengal,WB
743513,South 24 Parganas,West Bengal,WB
743609,South 24 Parganas,West Bengal,WB
743610,South 24 Parganas,West Bengal,WB
743611,South 24 Parganas,West Bengal,WB
743613,South 24 Parganas,West Bengal,WB
743701,North 24 Parganas,West Bengal,WB
743702,North 24 Parganas,West Bengal,WB
743704,North 24 Parganas,West Bengal,WB
743710,North 24 Parganas,West Bengal,WB
743711,North 24 Parganas,West Bengal,WB
744101,South Andaman,Andaman & Nicobar Islands,AN
744102,South Andaman,Andaman & Nicobar Islands,AN
744103,South Andaman,Andaman & Nicobar Islands,AN
744104,South Andaman,Andaman & Nicobar Islands,AN
744105,South Andaman,Andaman & Nicobar Islands,AN
744106,South Andaman,Andaman & Nicobar Islands,AN
744107,South Andaman,Andaman & Nicobar Islands,AN
744112,South Andaman,Andaman & Nicobar Islands,AN
