Sr.No.|Region|State|District|Sub District|Center|Bank Group|Bank Name|Banking Channel Name|Part 1 Code|Part 2 Code|Population Group|AD Category|License Number|License Date|Address|Banking Channel Type|Sub Type|MICR Code|IFSC Code|Date of opening
3325|WESTERN REGION|MAHARASHTRA|AHILYANAGAR|SHRIGONDA|SHRIGONDA (M CL)|PUBLIC SECTOR BANKS|BANK OF INDIA|SRIGONDA|0223512|6220054|SEMI URBAN||not available (checked)|2010-09-07 00:00:00|"DAUND JAMKHED ROAD RAHUL COMPLEX SRIGONDA,-1,AHILYANAGAR,MAHARASHTRA,413701"|BRANCH||414013501|BKID0000608|2010-09-07 00:00:00
3326|WESTERN REGION|MAHARASHTRA|NASIK|BAGLAN|SATANA (M CL)|PUBLIC SECTOR BANKS|BANK OF INDIA|SATANA|0223513|6500084|SEMI URBAN||NOT AVAILABLE CHECKED|2010-09-07 00:00:00|"6, MALEGAON ROAD SHREE SWAMI SAMARTH SANKUL NEAR MARKET YARD,-1,NASIK,MAHARASHTRA,423301"|BRANCH||423013503|BKID0000818|2010-09-07 00:00:00
3327|WESTERN REGION|MAHARASHTRA|YAVATMAL|ARNI|ARNI|PUBLIC SECTOR BANKS|BANK OF INDIA|ARNI|0223520|6340074|SEMI URBAN||||"YAVATMAL ROAD, SHIVNERI CHOWK GIRI COMPLEX ARNI,-1,YAVATMAL,MAHARASHTRA,445103"|BRANCH||445013503|BKID0000634|2010-09-07 00:00:00
3328|WESTERN REGION|MAHARASHTRA|RATNAGIRI|CHIPLUN|CHIPLUN (M CL)|PUBLIC SECTOR BANKS|BANK OF INDIA|BAHADURSHAIKH NAKA|0223535|6050015|SEMI URBAN||NOT_AVAILABLE(CHECKED)|2020-04-09 18:25:06|"CHIPLUN-KARAD ROAD CENTER 1 COMPLEX, NEAR PARANJPE HOTEL CHIPLUN,-1,RATNAGIRI,MAHARASHTRA,415605"|BRANCH||415013202|BKID0001480|2010-09-07 11:00:00
3329|WESTERN REGION|MAHARASHTRA|NAGPUR|NAGPUR (URBAN)|NAGPUR (M CORP.)|PUBLIC SECTOR BANKS|BANK OF INDIA|RTM NAGPUR UNIVERSITY|0223543|6400009|METROPOLITAN||DBOD.BL 2018/22.03.012/10-11|2010-08-02 00:00:00|"AMBAZARI PANDHARABODI ROAD RTM NAGPUR UNIVERSITY CAMPUS NAGPUR UNIVERSITY CAMPUS AREA,-1,NAGPUR,MAHARASHTRA,440033"|BRANCH||440013037|BKID0008762|2010-09-27 00:00:00
3330|WESTERN REGION|MAHARASHTRA|GADCHIROLI|AHERI|ALLAPALLI|PUBLIC SECTOR BANKS|BANK OF INDIA|ALLAPALLI|0223549|6600093|SEMI URBAN||NOT_AVAILABLE(CHECKED)|2010-09-27 00:00:00|"MAIN ROAD GRAM PANCHAYAT BUILDING ALLAPALLI,-1,GADCHIROLI,MAHARASHTRA,442703"|BRANCH||425013503|BKID0009644|2010-09-27 00:00:00
3331|WESTERN REGION|MAHARASHTRA|HINGOLI|BASMATH|BASMATH (M CL)|PUBLIC SECTOR BANKS|BANK OF INDIA|BASMATH|0223572|6270065|SEMI URBAN||DBODBL.10590/22.03.012/2010-11|2011-01-06 00:00:00|"MONDHA ROAD BAHETI BUILDING MONDHA ROAD,-1,HINGOLI,MAHARASHTRA,431512"|BRANCH||431013502|BKID0000772|2011-02-17 00:00:00
3332|WESTERN REGION|MAHARASHTRA|AMRAVATI|WARUD|WARUD (M CL)|PUBLIC SECTOR BANKS|BANK OF INDIA|WARUD|0223577|6440084|SEMI URBAN||||"APPROACH ROAD YAWALKAR COMPLEX WARUD,-1,AMRAVATI,MAHARASHTRA,444906"|BRANCH||444013504|BKID0009680|2011-02-18 00:00:00
3333|WESTERN REGION|MAHARASHTRA|RATNAGIRI|KHED|FURUS|PUBLIC SECTOR BANKS|BANK OF INDIA|FURUS|0223580|6050401|RURAL||NOT_AVAILABLE(CHECKED)|2020-04-13 19:17:23|"FURUS FURUS FURUS,-1,RATNAGIRI,MAHARASHTRA,415710"|BRANCH||415013557|BKID0001474|2011-02-28 11:00:00
3334|WESTERN REGION|MAHARASHTRA|MUMBAI SUBURBAN|NO BLOCK|GREATER MUMBAI (M CORP.) (PART)|PUBLIC SECTOR BANKS|BANK OF INDIA|SEEPZ MID CORPORATE|0223598|2910009|METROPOLITAN|B|DBOD NO BL 9390/22.03.012/2009-10|2010-12-15 00:00:00|"SEEPZ BEHIND SEEPZ SERVICE CENTRE BUILDING SEEPZ,-1,MUMBAI SUBURBAN,MAHARASHTRA,400096"|BRANCH||400013149|BKID0000161|2011-02-28 00:00:00
3335|WESTERN REGION|MAHARASHTRA|CHANDRAPUR|BHADRAVATI|CHARGAON|PUBLIC SECTOR BANKS|BANK OF INDIA|CHARGAON|0223613|6361291|RURAL||||"CHARGAON Q.NO.B/31,EKTA NAGAR COLONY CHARGAON(TELWASA),-1,CHANDRAPUR,MAHARASHTRA,442902"|BRANCH||442013557|BKID0009639|2011-03-22 00:00:00
3336|WESTERN REGION|MAHARASHTRA|GADCHIROLI|KORCHI|KORCHI|PUBLIC SECTOR BANKS|BANK OF INDIA|KORCHI|0223620|6600161|RURAL||NOT_AVAILABLE(CHECKED)|2011-03-25 00:00:00|"GADCHIROLI AT PO KORCHI TAHSIL KORCHI DISTRICT,-1,GADCHIROLI,MAHARASHTRA,441209"|BRANCH||442013558|BKID0009645|2011-03-25 00:00:00
3337|WESTERN REGION|MAHARASHTRA|THANE|KALYAN|KALYAN-DOMBIVLI (M CORP.)|PUBLIC SECTOR BANKS|BANK OF INDIA|KHADAKPADA|0223623|6010029|METROPOLITAN||DBOD NO.BL.10590/22.03.012/2010-11|2011-01-06 00:00:00|"KHADAKPADA, NEAR PODDAR ENGLISH SCHOOL SHOP NO.7, NIRAJ PARK, BLDG.NO.5 KHADAKPADA,-1,THANE,MAHARASHTRA,421301"|BRANCH||400013152|BKID0001248|2011-03-28 00:00:00
3338|WESTERN REGION|MAHARASHTRA|BULDHANA|KHAMGAON|KHAMGAON (M CL)|PUBLIC SECTOR BANKS|BANK OF INDIA|KHAMGAON|0223624|6480005|SEMI URBAN||DBOD.BL.10590/22.03.012/2010-11|2011-01-06 00:00:00|"OPP. DATTA MANDIR GOKUL ARCADE KHAMGAON,-1,BULDHANA,MAHARASHTRA,444303"|BRANCH||444013302|BKID0009241|2011-03-28 00:00:00
3339|WESTERN REGION|MAHARASHTRA|MUMBAI SUBURBAN|NO BLOCK|GREATER MUMBAI (M CORP.) (PART)|PUBLIC SECTOR BANKS|BANK OF INDIA|JOGESHWARI WEST|0223640|2910009|METROPOLITAN||DBOD NO BL.10590/22.03.012/2010-11|2011-01-06 00:00:00|"COLLECTORS COLONY,MOMIN NAGAR,S.V ROAD Shop no3,4,5,6,10,11 Faizan CHS,-1,MUMBAI SUBURBAN,MAHARASHTRA,400102"|BRANCH||400013153|BKID0000163|2011-03-29 00:00:00
3340|WESTERN REGION|MAHARASHTRA|MUMBAI SUBURBAN|NO BLOCK|GREATER MUMBAI (M CORP.) (PART)|PUBLIC SECTOR BANKS|BANK OF INDIA|DAHISAR (EAST)|0223641|2910009|METROPOLITAN||DBOD.NO.BL.10590/22.03.012/2010-11|2011-01-06 00:00:00|"SWAMI VIVEKANAND ROAD LUKHI EMPIRE DAHISAR,-1,MUMBAI SUBURBAN,MAHARASHTRA,400068"|BRANCH||400013154|BKID0000165|2011-03-29 11:00:00
3341|WESTERN REGION|MAHARASHTRA|PALGHAR|VASAI|VASAI-VIRAR CITY (M CORP)|PUBLIC SECTOR BANKS|BANK OF INDIA|NALASOPARA (EAST)|0223648|3820729|METROPOLITAN||DBOD.BL.10590/22.03.012/2010-11|2011-01-06 00:00:00|"SHALIBHADRE AVENUE 1ST FLOOR NALASOPARA,-1,PALGHAR,MAHARASHTRA,401209"|BRANCH||400013155|BKID0001249|2011-03-29 00:00:00
3342|WESTERN REGION|MAHARASHTRA|THANE|THANE|MIRA-BHAYANDAR (M CORP.)|PUBLIC SECTOR BANKS|BANK OF INDIA|"GOLDEN NEST, MIRA BHAYANDER (E)"|0223660|6010178|URBAN||DBOD NO.BL 10590/22.03.012/2011|2011-01-06 00:00:00|"NEW GOLKDEN NEST, PHASE-X111 SHANTI NIWAS, JAIN BUNGLOW,-1,THANE,MAHARASHTRA,401105"|BRANCH||400013157|BKID0000137|2011-03-30 11:00:00
3343|WESTERN REGION|MAHARASHTRA|PUNE|INDAPUR|INDAPUR (M CL)|PUBLIC SECTOR BANKS|BANK OF INDIA|INDAPUR (PUNE)|0223664|6200364|SEMI URBAN||||"INDAPUR CITY SURVEY NO.3648 AMBIKA NAGAR, OPP.DAK BUNGLOW,-1,PUNE,MAHARASHTRA,413106"|BRANCH||413013543|BKID0000622|2011-03-30 00:00:00
3344|WESTERN REGION|MAHARASHTRA|NANDURBAR|NANDURBAR|NANDURBAR (M CL)|PUBLIC SECTOR BANKS|BANK OF INDIA|NANDURBAR|0223665|6550006|URBAN||BL.10590/22.03.012/2010-11|2011-01-06 00:00:00|"- Amrut Complex, Amrut Chowk, Nandurbar,-1,NANDURBAR,MAHARASHTRA,425412"|BRANCH||425013202|BKID0000694|2011-03-30 00:00:00
3345|WESTERN REGION|MAHARASHTRA|JALGAON|CHALISGAON|CHALISGAON(M CL)|PUBLIC SECTOR BANKS|BANK OF INDIA|CHALISGAON|0223666|6560035|SEMI URBAN||DBOD.BL.10590/22.03.012/2010-11|2011-01-06 00:00:00|"NEAR AMRUT HOSPITAL PLOT NO.44/3 HIRAPUR ROAD, CHALISGAON,-1,JALGAON,MAHARASHTRA,424101"|BRANCH||424013202|BKID0000674|2011-03-30 00:00:00
3346|WESTERN REGION|MAHARASHTRA|MUMBAI|NO BLOCK|GREATER MUMBAI (M CORP.) (PART)|PUBLIC SECTOR BANKS|BANK OF INDIA|SEWRI (WEST)|0223673|6000009|METROPOLITAN||DBOD.BL.10590/22.03.012/2010-11|2011-01-06 00:00:00|"TOKERSHI JIVRAJ ROAD 12, RAJI INDUSTRIAL ESTATE SEWRI (WEST),-1,MUMBAI,MAHARASHTRA,400015"|BRANCH||400013158|BKID0000166|2011-03-31 00:00:00
3347|WESTERN REGION|MAHARASHTRA|PALGHAR|PALGHAR|PALGHAR (M CL)|PUBLIC SECTOR BANKS|BANK OF INDIA|PALGHAR|0223677|3820365|SEMI URBAN||DBOD.NO.BL.10590/22.03.012/2010-11|2011-01-06 00:00:00|"BHAUSAHEB DANDEKAR MARG, OFF MAHIM ROAD RAVIRAJ APT., GROUND FLOOR PALGHAR(W),-1,PALGHAR,MAHARASHTRA,401404"|BRANCH||400013156|BKID0001250|2011-03-31 11:00:00
3348|WESTERN REGION|MAHARASHTRA|MUMBAI SUBURBAN|NO BLOCK|GREATER MUMBAI (M CORP.) (PART)|PUBLIC SECTOR BANKS|BANK OF INDIA|JOGESHWARI EAST|0223690|2910009|METROPOLITAN||DBOD NO.BL 10590/22.03.012/10-11|2011-01-06 00:00:00|"HINDU FRIENDS SOCIETY ROAD SHANTA MANGESH APT. JOGESHWARI EAST, MUMBAI,-1,MUMBAI SUBURBAN,MAHARASHTRA,400060"|BRANCH||400013151|BKID0000164|2011-05-19 11:00:00
3349|WESTERN REGION|MAHARASHTRA|PUNE|PUNE CITY|PUNE (M CORP.)|PUBLIC SECTOR BANKS|BANK OF INDIA|PUNE LARGE CORPORATE BRANCH|0223732|6200019|METROPOLITAN|B|DBOD.NO.BL.9390/22.03.012/2010-11|2010-12-15 00:00:00|"UNIVERSITY ROAD 1162/6, SHIVAJI NAGAR   PUNE,-1,PUNE,MAHARASHTRA,411005"|BRANCH||411013044|BKID0000540|2011-06-11 00:00:00
3350|WESTERN REGION|MAHARASHTRA|PUNE|DAUND|KEDGAON|PUBLIC SECTOR BANKS|BANK OF INDIA|KEDGAON|0223763|6200391|RURAL||||"KEDGAON, TAL- DAUND, DIST- PUNE NIMBALKAR COMPLEX, NEAR BAZAR MAIDAN,,-1,PUNE,MAHARASHTRA,412203"|BRANCH||411013045|BKID0000623|2011-08-08 00:00:00
3351|WESTERN REGION|MAHARASHTRA|NAGPUR|NARKHED|NARKHED (M CL)|PUBLIC SECTOR BANKS|BANK OF INDIA|NARKHED|0223805|6400034|SEMI URBAN||||"BAZAR CHOWK PLOT NO.326/2,3, WARD NO.16, NARKHED,-1,NAGPUR,MAHARASHTRA,441304"|BRANCH||440013528|BKID0008763|2011-09-07 00:00:00
3352|WESTERN REGION|MAHARASHTRA|NAGPUR|MAUDA|MOUDA (CT)|PUBLIC SECTOR BANKS|BANK OF INDIA|MOUDA|0223806|6401203|SEMI URBAN||||"MOUDA PLOT NO.2640/41, WARD NO.5 MOUDA,-1,NAGPUR,MAHARASHTRA,441404"|BRANCH||440013529|BKID0008764|2011-09-07 00:00:00
3353|WESTERN REGION|MAHARASHTRA|WARDHA|SAMUDRAPUR|SAMUDRAPUR|PUBLIC SECTOR BANKS|BANK OF INDIA|SAMUDRAPUR|0223807|6420152|RURAL||||"SURVEY NO.43/2, PLOT NO.5, VIDYA VIKAS COLONY SAMUDRAPUR,-1,WARDHA,MAHARASHTRA,442305"|BRANCH||442013560|BKID0009724|2011-09-07 00:00:00
3354|WESTERN REGION|MAHARASHTRA|THANE|THANE|NAVI MUMBAI (M CORP.)|PUBLIC SECTOR BANKS|BANK OF INDIA|KOPARKHAIRANE|0223808|6010489|METROPOLITAN||DBOD.NO.BL.10590/22.03.012/2010-11|2011-01-06 00:00:00|"PLOT NO.91, SECTOR-4, STATION ROAD SHOP NO.3 TO 7, CHANNEL CLASSIC CHS LTD. KOPARKHAIRANE,-1,THANE,MAHARASHTRA,400709"|BRANCH||400013163|BKID0000171|2011-09-07 00:00:00
3355|WESTERN REGION|MAHARASHTRA|RATNAGIRI|RATNAGIRI|KOTAVADE|PUBLIC SECTOR BANKS|BANK OF INDIA|KOTAVADE|0223818|6050501|RURAL||NOT_AVAILABLE_(CHECKED)|2020-04-03 19:01:32|"KOTAVADE HOUSE NO.255, GRAMPANCHAYAT BLDG. KOTAVADE,-1,RATNAGIRI,MAHARASHTRA,415617"|BRANCH||415013560|BKID0001476|2011-09-07 11:00:00
