pincode,lat,lng
301707,28.08409694916474,76.84436167481472
301702,27.99400685907465,76.74224853515626
123200,28.483578046620867,75.750732421875
127201,28.57366813671096,75.85331702079165
123308,28.461055524098345,75.97283459362214
333029,28.34844291148573,75.750732421875
331305,28.461055524098345,75.52863025012786
124010,28.878349647602047,76.58569335937501
136118,29.935895213372444,76.87683105468751
416211,16.4626695,74.0894749
D958603,11.9544201,77.1069086
172116,31.593013,78.3281417
D458966,10.8132489,73.6804621
790102,27.557781,93.0753012
562130,13.0010872,77.3361225
D118911,31.3380959,76.7611631
792001,28.0350162,96.1713515
D939729,19.3653598,73.3685437
144001,31.2922312,75.5678878
797112,25.9041378,93.7177609
678642,10.7873692,76.4742172
712306,22.75,88.25
D632781,32.911964,75.3265845
143518,31.9037264,75.2275587
152004,30.8753832,74.6525438
D692292,25.3121261,94.4754982
627502,8.5495014,77.5805178
D371822,23.1708278,91.638817
144208,31.6092942,75.8459754
391760,22.3179455,73.3048674
180017,32.7681864,74.9211318
635116,12.5152075,78.0093769
D832760,13.325036,79.6480611
D155696,16.6965686,77.9591146
791118,27.9863677,93.1578347
533309,16.6443029,81.5885247
362520,20.7159534,70.9785005
522307,16.2853547,80.5686143
833219,22.7464225,85.9168929
676121,11.1068448,76.1099551
752020,20.0538149,85.5023308
500104,17.4233588,78.3775407
133104,30.3435002,76.9493554
D731829,10.8504608,78.724533
D591824,14.5300827,77.6671997
508377,16.8579636,79.2174935
770011,22.0605153,83.9359154
142001,30.7877554,75.159359
623700,9.5205576,78.5184635
670593,11.9863343,75.5479704
791002,28.7312046,95.0377315
D840134,31.7685759,74.8315603
796321,23.5443743,93.3479506
D450640,30.1794814,75.0471098
D794154,14.0556503,75.2380553
632010,12.9021849,79.061104
122104,27.7939605,77.0120827
D745712,33.61562,75.8793972
D524797,21.602975,69.8538067
798611,25.8117088,94.8474036
176002,32.0768665,76.2985872
D706630,28.0599426,77.3223422
D910402,12.4221964,75.1904446
201206,28.7749966,77.4586967
798616,26.2342107,94.741553
D750446,23.7564387,92.4515374
D237982,25.4499691,93.6001738
250001,29.0018557,77.7679671
D534240,21.1982964,81.4007922
333001,28.1071434,75.3755202
382620,23.2819525,72.6536309
562104,13.5897941,77.778793
828109,23.8451969,86.4636588
246488,30.25,79.333333
624622,10.4256896,77.815664
175021,31.6516617,77.0092542
D549883,12.6368939,76.7275477
D285577,33.9490472,75.0418335
D474943,17.6361289,74.2982781
523262,15.5641955,80.0066786
