pincode,upi_txn_count_nearby,quarter_label
144041,121799,2026 Q2
144042,251506,2026 Q2
144043,240154,2026 Q2
144044,208381,2026 Q2
144101,2754411,2026 Q2
144102,710362,2026 Q2
144103,352845,2026 Q2
144104,431067,2026 Q2
144105,185972,2026 Q2
144106,328635,2026 Q2
144201,219839,2026 Q2
144202,204018,2026 Q2
144204,272277,2026 Q2
144205,337957,2026 Q2
144206,94258,2026 Q2
144207,249518,2026 Q2
144208,379933,2026 Q2
144209,100061,2026 Q2
144210,208136,2026 Q2
144211,422491,2026 Q2
144212,328520,2026 Q2
144213,79866,2026 Q2
144214,324767,2026 Q2
144216,192379,2026 Q2
144221,282027,2026 Q2
144222,196796,2026 Q2
144223,191550,2026 Q2
144224,121020,2026 Q2
144301,893020,2026 Q2
144302,499113,2026 Q2
144303,422374,2026 Q2
144305,269446,2026 Q2
144306,314965,2026 Q2
144311,850128,2026 Q2
144401,1362622,2026 Q2
144402,882069,2026 Q2
144403,1318594,2026 Q2
144404,150761,2026 Q2
144405,250552,2026 Q2
144406,138136,2026 Q2
144407,540590,2026 Q2
144408,143312,2026 Q2
144409,383036,2026 Q2
144410,1365300,2026 Q2
144411,2753218,2026 Q2
144415,1787674,2026 Q2
144416,799356,2026 Q2
144417,195680,2026 Q2
144418,300814,2026 Q2
144419,1280713,2026 Q2
144421,136857,2026 Q2
144422,677023,2026 Q2
144501,334527,2026 Q2
144502,230211,2026 Q2
144503,240983,2026 Q2
144504,139554,2026 Q2
144505,136622,2026 Q2
144506,202695,2026 Q2
144507,148065,2026 Q2
144508,214504,2026 Q2
144509,132350,2026 Q2
144510,160688,2026 Q2
144511,174988,2026 Q2
144512,212549,2026 Q2
144513,204457,2026 Q2
144514,297435,2026 Q2
144515,173142,2026 Q2
144516,213060,2026 Q2
144517,201895,2026 Q2
144518,269636,2026 Q2
144519,131275,2026 Q2
144520,143947,2026 Q2
144521,136439,2026 Q2
144522,239783,2026 Q2
144523,207465,2026 Q2
144524,155099,2026 Q2
144525,124137,2026 Q2
144526,165873,2026 Q2
144527,201150,2026 Q2
144528,114407,2026 Q2
144529,146325,2026 Q2
144530,105358,2026 Q2
144531,165595,2026 Q2
144532,199576,2026 Q2
144533,467809,2026 Q2
144601,1328318,2026 Q2
144602,430540,2026 Q2
144603,1308508,2026 Q2
144606,262381,2026 Q2
144620,354633,2026 Q2
144621,210263,2026 Q2
144622,211499,2026 Q2
144623,232790,2026 Q2
144624,251398,2026 Q2
144625,202443,2026 Q2
144626,178276,2026 Q2
144628,194809,2026 Q2
144629,126444,2026 Q2
144630,228786,2026 Q2
144631,189587,2026 Q2
144632,924137,2026 Q2
144633,1233246,2026 Q2
144701,188153,2026 Q2
144702,125198,2026 Q2
144703,131734,2026 Q2
144801,512089,2026 Q2
144802,371935,2026 Q2
144803,512674,2026 Q2
144804,307797,2026 Q2
144805,1559492,2026 Q2
144806,1306016,2026 Q2
144819,207389,2026 Q2
145001,1356123,2026 Q2
145002,484271,2026 Q2
145022,173638,2026 Q2
145023,1650822,2026 Q2
145024,1307196,2026 Q2
145025,848164,2026 Q2
145026,438075,2026 Q2
145027,280362,2026 Q2
145029,731938,2026 Q2
145101,322218,2026 Q2
146001,850916,2026 Q2
146021,370086,2026 Q2
146022,657850,2026 Q2
146023,521234,2026 Q2
146024,247641,2026 Q2
146101,134470,2026 Q2
146102,188662,2026 Q2
146103,116637,2026 Q2
146104,242802,2026 Q2
146105,147758,2026 Q2
146106,131978,2026 Q2
146107,129429,2026 Q2
146108,122916,2026 Q2
146109,136409,2026 Q2
146110,215964,2026 Q2
146111,527721,2026 Q2
146112,348645,2026 Q2
146113,456394,2026 Q2
