pincode,bank_branches_per_lakh,deposits_per_capita
851213,17.3,220000.0
D649160,13.3,220000.0
D404179,13.9,220000.0
D655706,12.4,220000.0
784125,11.9,220000.0
586101,37.7,320000.0
814114,17.0,220000.0
228141,21.6,187840.0
224188,21.6,187840.0
825316,17.9,220000.0
307001,6.1,177449.0
D556250,16.0,220000.0
845437,17.4,220000.0
841241,17.6,220000.0
D191344,17.4,220000.0
325218,6.1,177449.0
D728927,19.7,220000.0
533464,9.0,179847.0
D690011,11.8,220000.0
D163852,11.8,220000.0
D959576,28.1,220000.0
813102,17.3,220000.0
D904225,7.4,220000.0
798621,5.1,220000.0
D912916,5.1,220000.0
784505,11.1,220000.0
852221,17.5,220000.0
323001,6.8,177449.0
841440,17.6,220000.0
D146661,21.4,220000.0
322024,7.4,177449.0
328031,6.6,177449.0
854202,17.4,220000.0
742169,20.1,195833.0
246762,16.5,187840.0
D532364,11.3,220000.0
D837649,12.1,220000.0
D809540,5.4,220000.0
803109,17.6,220000.0
D797660,12.5,220000.0
D576228,8.3,220000.0
D727621,8.6,220000.0
244001,17.7,187840.0
781137,13.0,220000.0
D408343,21.2,220000.0
326039,7.3,177449.0
441804,11.7,570000.0
D340613,10.0,220000.0
D130094,18.0,220000.0
D469416,8.9,220000.0
731216,19.5,195833.0
781300,13.8,220000.0
185101,21.2,220000.0
D625702,11.4,220000.0
794102,16.1,220000.0
481102,9.3,155068.0
D919044,17.6,220000.0
244221,17.5,187840.0
443102,11.7,570000.0
822123,17.6,220000.0
D920456,17.0,220000.0
795006,9.4,220000.0
783362,14.5,220000.0
D581407,17.5,220000.0
793119,15.0,220000.0
741123,19.9,195833.0
203001,20.5,187840.0
273001,21.1,187840.0
D147530,17.6,220000.0
487110,9.6,155068.0
D951435,18.0,220000.0
458883,9.8,155068.0
851127,17.6,220000.0
243001,18.4,187840.0
484330,8.9,155068.0
D552859,18.0,220000.0
D415026,4.3,220000.0
782141,11.1,220000.0
782105,11.8,220000.0
D516392,13.3,220000.0
D988234,6.6,220000.0
D466715,7.9,220000.0
461005,11.2,155068.0
D997854,21.2,220000.0
787059,10.0,220000.0
781372,13.9,220000.0
D231483,12.8,220000.0
804420,17.8,220000.0
783349,14.7,220000.0
811314,17.3,220000.0
221003,21.1,187840.0
D419945,17.6,220000.0
D335855,11.7,220000.0
D280075,9.2,220000.0
385340,6.3,215816.0
733124,19.3,195833.0
455223,13.6,155068.0
793151,11.7,220000.0
