state,district,mpce_combined,mpce_rural,mpce_urban,mpce_p50,ppi_signal,survey_year,source
MAHARASHTRA,BHANDARA,4529.0,4529.0,0,2845.0,14.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MADHYA PRADESH,VIDISHA,4524.0,3456.0,5380.0,3599.0,14.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MADHYA PRADESH,MORENA,4506.0,4204.0,5321.0,3772.0,14.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
WEST BENGAL,PASCHIM MEDINIPUR,4487.0,4171.0,6596.0,3698.0,14.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
GUJARAT,AMRELI,4485.0,4010.0,5650.0,3581.0,14.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
WEST BENGAL,BIRBHUM,4476.0,4343.0,5767.0,3880.0,14.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ASSAM,BARPETA,4462.0,4265.0,6311.0,3854.0,14.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
JAMMU AND KASHMIR,PUNCH,4458.0,4212.0,6414.0,3808.0,14.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,HAMIRPUR,4458.0,4458.0,0,3995.0,14.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MEGHALAYA,SOUTH GARO HILLS,4458.0,4211.0,7066.0,3839.0,14.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MADHYA PRADESH,BALAGHAT,4451.0,3485.0,6830.0,3464.0,14.1,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
BIHAR,PASHCHIM CHAMPARAN,4436.0,4238.0,5825.0,3600.0,14.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,JYOTIBA PHULE NAGAR,4431.0,4288.0,4919.0,3759.0,14.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MAHARASHTRA,BULDANA,4414.0,4503.0,3681.0,3541.0,13.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
JHARKHAND,PALAMU,4412.0,3929.0,6147.0,3974.0,13.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ODISHA,MAYURBHANJ,4387.0,4160.0,6163.0,3304.0,13.7,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MANIPUR,CHURACHANDPUR,4381.0,4381.0,0,3521.0,13.7,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
