pincode,mpce_combined,mpce_rural,mpce_urban,hces_ppi,hces_district,hces_state
110012,9791.0,0.0,9791.0,48.4,CENTRAL,DELHI
110013,12758.0,4935.0,12787.0,67.4,SOUTH,DELHI
110014,12758.0,4935.0,12787.0,67.4,SOUTH,DELHI
110015,12452.0,0.0,12452.0,65.5,WEST,DELHI
110018,12452.0,0.0,12452.0,65.5,WEST,DELHI
110019,12758.0,4935.0,12787.0,67.4,SOUTH,DELHI
110020,12758.0,4935.0,12787.0,67.4,SOUTH,DELHI
110022,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110023,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110025,12758.0,4935.0,12787.0,67.4,SOUTH,DELHI
110027,12452.0,0.0,12452.0,65.5,WEST,DELHI
110028,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110029,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110030,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110031,10441.0,0.0,10441.0,52.6,EAST,DELHI
110033,10444.0,8673.0,10511.0,52.6,NORTH WEST,DELHI
110035,10444.0,8673.0,10511.0,52.6,NORTH WEST,DELHI
110036,10444.0,8673.0,10511.0,52.6,NORTH WEST,DELHI
110037,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110038,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110039,10444.0,8673.0,10511.0,52.6,NORTH WEST,DELHI
110041,12452.0,0.0,12452.0,65.5,WEST,DELHI
110042,10444.0,8673.0,10511.0,52.6,NORTH WEST,DELHI
110043,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110044,12758.0,4935.0,12787.0,67.4,SOUTH,DELHI
110045,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110046,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110047,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110049,12758.0,4935.0,12787.0,67.4,SOUTH,DELHI
110051,10441.0,0.0,10441.0,52.6,EAST,DELHI
110052,10444.0,8673.0,10511.0,52.6,NORTH WEST,DELHI
110053,10441.0,0.0,10441.0,52.6,EAST,DELHI
110054,7910.0,7753.0,7915.0,36.3,NORTH,DELHI
110055,9791.0,0.0,9791.0,48.4,CENTRAL,DELHI
110056,10444.0,8673.0,10511.0,52.6,NORTH WEST,DELHI
110060,9791.0,0.0,9791.0,48.4,CENTRAL,DELHI
110061,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110062,12758.0,4935.0,12787.0,67.4,SOUTH,DELHI
110063,12452.0,0.0,12452.0,65.5,WEST,DELHI
110064,12452.0,0.0,12452.0,65.5,WEST,DELHI
110065,12758.0,4935.0,12787.0,67.4,SOUTH,DELHI
110066,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110067,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110068,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110069,9791.0,0.0,9791.0,48.4,CENTRAL,DELHI
110071,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110072,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110073,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110074,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110076,12758.0,4935.0,12787.0,67.4,SOUTH,DELHI
110077,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110078,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110080,12758.0,4935.0,12787.0,67.4,SOUTH,DELHI
110081,10444.0,8673.0,10511.0,52.6,NORTH WEST,DELHI
110082,10444.0,8673.0,10511.0,52.6,NORTH WEST,DELHI
110083,10444.0,8673.0,10511.0,52.6,NORTH WEST,DELHI
110084,7910.0,7753.0,7915.0,36.3,NORTH,DELHI
110086,10444.0,8673.0,10511.0,52.6,NORTH WEST,DELHI
110087,12452.0,0.0,12452.0,65.5,WEST,DELHI
110088,10444.0,8673.0,10511.0,52.6,NORTH WEST,DELHI
110089,10444.0,8673.0,10511.0,52.6,NORTH WEST,DELHI
110090,10441.0,0.0,10441.0,52.6,EAST,DELHI
110094,10441.0,0.0,10441.0,52.6,EAST,DELHI
110095,10441.0,0.0,10441.0,52.6,EAST,DELHI
110096,10441.0,0.0,10441.0,52.6,EAST,DELHI
110097,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
121001,14158.0,6245.0,15208.0,76.4,FARIDABAD,HARYANA
121002,14158.0,6245.0,15208.0,76.4,FARIDABAD,HARYANA
121003,14158.0,6245.0,15208.0,76.4,FARIDABAD,HARYANA
121004,14158.0,6245.0,15208.0,76.4,FARIDABAD,HARYANA
121005,14158.0,6245.0,15208.0,76.4,FARIDABAD,HARYANA
121006,14158.0,6245.0,15208.0,76.4,FARIDABAD,HARYANA
121007,14158.0,6245.0,15208.0,76.4,FARIDABAD,HARYANA
121008,14158.0,6245.0,15208.0,76.4,FARIDABAD,HARYANA
121009,14158.0,6245.0,15208.0,76.4,FARIDABAD,HARYANA
121010,14158.0,6245.0,15208.0,76.4,FARIDABAD,HARYANA
121012,14158.0,6245.0,15208.0,76.4,FARIDABAD,HARYANA
121013,14158.0,6245.0,15208.0,76.4,FARIDABAD,HARYANA
121101,14158.0,6245.0,15208.0,76.4,FARIDABAD,HARYANA
121102,14158.0,6245.0,15208.0,76.4,FARIDABAD,HARYANA
121103,14158.0,6245.0,15208.0,76.4,FARIDABAD,HARYANA
121105,14158.0,6245.0,15208.0,76.4,FARIDABAD,HARYANA
121106,14158.0,6245.0,15208.0,76.4,FARIDABAD,HARYANA
121107,14158.0,6245.0,15208.0,76.4,FARIDABAD,HARYANA
122001,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122003,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122004,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122005,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122006,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122007,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122008,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122009,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122010,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122011,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122015,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122016,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122017,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122018,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122051,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122052,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122101,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122102,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122103,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122104,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122105,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122107,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122108,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122413,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122414,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122502,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122503,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122504,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122505,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122506,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122508,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
123001,5315.0,5370.0,4526.0,19.7,MAHENDRAGARH,HARYANA
123021,5315.0,5370.0,4526.0,19.7,MAHENDRAGARH,HARYANA
123023,5315.0,5370.0,4526.0,19.7,MAHENDRAGARH,HARYANA
123024,5315.0,5370.0,4526.0,19.7,MAHENDRAGARH,HARYANA
123027,5315.0,5370.0,4526.0,19.7,MAHENDRAGARH,HARYANA
123028,5315.0,5370.0,4526.0,19.7,MAHENDRAGARH,HARYANA
123029,5315.0,5370.0,4526.0,19.7,MAHENDRAGARH,HARYANA
123034,5508.0,5388.0,5882.0,20.9,REWARI,HARYANA
123035,5508.0,5388.0,5882.0,20.9,REWARI,HARYANA
123101,5508.0,5388.0,5882.0,20.9,REWARI,HARYANA
