pincode,cars_per_1000
263654,36.0
332041,36.0
562159,74.1
D877003,34.0
505469,38.0
392140,40.0
621804,36.0
604302,36.0
798625,34.0
D850617,34.0
524311,32.0
785634,34.0
613904,36.0
670721,32.0
D965985,34.0
416603,20.1
370427,40.0
614712,36.0
630556,36.0
143415,44.0
263145,36.0
313702,36.0
208012,36.0
D483105,34.0
383315,40.0
173023,34.0
D629957,34.0
305600,36.0
362260,40.0
518465,32.0
D966900,34.0
785600,34.0
786001,34.0
D248418,34.0
486896,30.0
D710636,34.0
D656917,34.0
431002,20.1
D808830,34.0
834010,34.0
D754715,34.0
D888359,34.0
D629821,34.0
792130,34.0
D794573,34.0
D254856,34.0
614101,36.0
D566928,34.0
303506,36.0
396375,40.0
124104,70.0
335803,36.0
D433744,34.0
184121,34.0
425116,20.1
795010,34.0
D427457,34.0
D344010,34.0
786153,34.0
D770954,34.0
577544,74.1
D445699,34.0
D890490,34.0
D902798,34.0
D958583,34.0
281406,36.0
D884563,34.0
D817915,34.0
414001,20.1
D340635,34.0
D717069,34.0
500023,38.0
126125,70.0
247001,36.0
D634761,34.0
284303,18.5
476221,15.4
284306,18.5
284302,18.5
285201,18.5
323601,18.5
324001,18.5
325001,18.5
323301,18.5
323600,30.9
124106,36.0
201102,18.5
250101,18.5
121005,36.0
500081,24.5
121009,80.7
110045,31.7
110065,49.3
110041,22.2
321023,18.5
321204,18.5
334001,18.5
321024,30.9
334005,18.5
122508,123.0
334401,18.5
334402,18.5
334004,18.5
560057,40.8
110047,22.2
110035,36.3
412105,10.3
412307,10.3
411025,10.3
410005,18.5
412110,10.3
412308,27.4
410505,10.3
411072,15.9
250002,19.5
250004,18.5
250205,18.5
250223,18.5
250005,18.5
250400,18.5
245101,18.5
250110,18.5
201204,18.5
201305,18.5
245301,18.5
250601,18.5
476335,15.4
476355,15.4
476332,15.4
562149,38.1
560039,48.7
560063,42.2
560097,38.2
562157,62.3
561203,38.1
562110,38.1
562129,38.1
560049,38.1
562132,38.1
560074,38.1
562127,38.1
560060,38.1
561201,38.1
562120,38.1
562123,62.3
562109,62.3
560083,68.0
D395541,34.0
110053,43.2
501511,19.6
509218,19.6
500005,35.8
501505,19.6
500089,19.6
800081,30.2
500097,19.6
501301,19.6
502319,19.6
501359,19.6
500101,19.6
501512,66.7
D367866,34.0
124507,36.0
124504,36.0
122413,123.0
201307,18.5
201015,18.5
110088,43.4
