pincode,msme_per_lakh
176318,2389.54
176319,2389.54
176320,2389.54
176321,2389.54
176323,2389.54
176324,2389.54
176325,2389.54
176401,2956.7
176402,2956.7
176403,2956.7
176501,2956.7
176502,2956.7
176601,3746.81
177031,3746.81
177034,2956.7
177039,3746.81
177043,2956.7
177101,2956.7
177103,2956.7
177104,2956.7
177105,2956.7
177106,2956.7
177107,2956.7
177108,2956.7
177109,3746.81
177110,3746.81
177111,2956.7
177112,2956.7
177113,2956.7
177114,2956.7
177117,2956.7
177201,3746.81
177202,3746.81
177203,3746.81
177204,3746.81
177205,3746.81
177206,3746.81
177207,3746.81
177208,3746.81
177209,3746.81
177210,3746.81
177211,3746.81
177212,3746.81
177213,3746.81
177219,3746.81
177220,3746.81
180017,5548.59
182202,3892.56
184121,5548.59
185101,2623.42
190001,7147.39
191132,6777.68
193224,3407.63
193502,5042.72
201001,4835.34
201002,4835.34
201003,4835.34
201004,4835.34
201005,4835.34
201006,4835.34
201007,4835.34
201008,12446.78
201009,4835.34
201010,4835.34
201011,4835.34
201012,4835.34
201013,4835.34
201014,4835.34
201015,4835.34
201016,4835.34
201017,4835.34
201019,4835.34
201102,4835.34
201103,4835.34
201201,4835.34
201204,4835.34
201206,4835.34
201301,12446.78
201303,12446.78
201304,12446.78
201305,12446.78
201306,12446.78
201307,12446.78
201309,12446.78
201310,12446.78
201311,12446.78
201312,12446.78
201313,12446.78
201314,12446.78
202001,3019.72
202002,3019.72
202121,3019.72
202122,3019.72
202123,3019.72
202124,3019.72
202125,3019.72
202126,3019.72
202127,3019.72
202128,3019.72
202129,3019.72
202130,3019.72
202131,3019.72
202132,3019.72
202133,3019.72
202134,3019.72
202135,3019.72
202136,3019.72
202137,3019.72
202138,3019.72
202139,3019.72
202140,3019.72
202141,3019.72
202142,3019.72
202143,3019.72
202145,3019.72
202150,3019.72
202155,3019.72
202165,3019.72
202170,3019.72
202280,3019.72
202281,3019.72
202282,3019.72
203135,12446.78
203141,12446.78
203155,12446.78
203201,12446.78
203202,12446.78
203203,12446.78
203207,12446.78
203209,12446.78
205001,2082.19
205119,2082.19
205121,2082.19
205247,2082.19
205261,2082.19
205262,2082.19
205263,2082.19
205264,2082.19
205265,2082.19
205267,2082.19
205268,2082.19
205301,2082.19
205303,2082.19
205304,2082.19
206001,2253.29
206002,2253.29
206003,2253.29
206120,2253.29
206121,1824.91
206122,1824.91
206123,2253.29
206124,2253.29
206125,2253.29
206126,2253.29
206127,2253.29
206128,2253.29
206129,1824.91
206130,2253.29
206131,2253.29
206241,1824.91
206242,2253.29
206243,1824.91
206244,1824.91
206245,2253.29
206246,1824.91
206247,1824.91
206248,1824.91
206249,1824.91
206250,1824.91
206251,1824.91
206252,1824.91
206253,2253.29
206255,1824.91
207001,1871.96
207002,1871.96
207003,1871.96
207120,1871.96
207121,1871.96
207122,1871.96
207123,1871.96
207124,1871.96
207125,1871.96
207241,1871.96
207242,1871.96
207243,1871.96
207244,1871.96
207245,1871.96
207246,1871.96
207247,1871.96
207248,1871.96
207249,1871.96
207250,1871.96
207301,1871.96
207302,1871.96
207401,1871.96
207402,1871.96
207403,1871.96
208001,3965.3
208002,3965.3
208003,3965.3
208004,3965.3
208005,3965.3
208006,3965.3
208007,3965.3
208008,3965.3
208009,3965.3
208010,3965.3
208011,3965.3
208012,3965.3
208013,3965.3
208014,3965.3
208015,3965.3
208016,3965.3
208017,3965.3
208019,3965.3
208020,3965.3
208021,3965.3
208022,3965.3
208023,3965.3
208024,3965.3
208025,3965.3
208026,3965.3
208027,3965.3
209101,1812.61
209111,1812.61
209112,1812.61
209115,1812.61
209121,1812.61
209125,1812.61
209202,1812.61
209203,1812.61
209204,1812.61
209205,1812.61
209206,1812.61
209208,1812.61
209209,1812.61
209210,1812.61
209214,3965.3
209217,3965.3
209301,1812.61
209302,1812.61
209303,1812.61
209304,3965.3
209305,3965.3
209306,1812.61
209307,1812.61
209308,1812.61
209310,1812.61
209311,1812.61
209312,1812.61
209401,3965.3
209402,3965.3
209501,1697.15
209502,1697.15
209503,1697.15
209504,1697.15
209505,1697.15
209601,1697.15
209602,1697.15
209621,1697.15
209622,1697.15
209625,1697.15
209651,1697.15
209652,1697.15
209720,1727.32
209721,1727.32
209722,1727.32
209723,1727.32
209724,1697.15
209725,1727.32
209727,1727.32
209728,1727.32
209729,1727.32
209731,1727.32
209732,1727.32
209733,1727.32
209734,1727.32
209735,1727.32
209736,1727.32
209738,1727.32
209739,1697.15
209743,1697.15
209745,1697.15
209747,1727.32
209749,1697.15
209801,1497.37
209821,1497.37
209825,1497.37
209827,1497.37
209831,1497.37
209841,1497.37
209859,1497.37
209861,1497.37
209862,1497.37
209863,1497.37
209864,1497.37
209865,1497.37
209866,1497.37
209867,1497.37
209868,1497.37
209869,1497.37
209870,1497.37
209871,1497.37
209881,1497.37
210001,1294.66
210120,1294.66
210121,1294.66
210123,1294.66
210125,1294.66
210126,1294.66
210128,1294.66
210129,1294.66
210201,1294.66
210202,1294.66
210203,1294.66
210204,1546.4
210205,1546.4
210206,1546.4
210207,1546.4
210208,1546.4
210209,1546.4
210301,1798.88
210341,1798.88
210421,1963.35
210422,1798.88
210423,1963.35
210424,1963.35
210425,1963.35
210426,1963.35
210427,1963.35
210428,1798.88
210429,1963.35
210430,1798.88
210431,1798.88
210432,1798.88
210433,1963.35
210501,1798.88
210502,1798.88
210504,1798.88
210505,1798.88
210506,1798.88
210507,1798.88
212201,1487.12
212202,1487.12
212203,1487.12
212204,1487.12
212205,1487.12
212206,1487.12
212207,1487.12
212214,1487.12
212216,1487.12
212217,1487.12
212218,1487.12
212601,1403.24
212620,1403.24
212621,1403.24
212622,1403.24
212631,1403.24
212635,1403.24
212641,1403.24
212645,1403.24
212650,1403.24
212651,1403.24
212652,1403.24
212653,1403.24
212654,1403.24
212655,1403.24
212656,1403.24
212657,1403.24
212658,1403.24
212659,1403.24
212661,1403.24
212663,1403.24
212664,1403.24
212665,1403.24
221001,4817.29
221002,4817.29
221003,4817.29
221004,4817.29
221005,4817.29
221006,4817.29
221007,4817.29
221008,4817.29
221009,2042.65
221010,4817.29
221011,4817.29
221101,4817.29
221103,4817.29
221104,4817.29
221105,4817.29
221106,4817.29
221107,4817.29
221108,4817.29
221110,4817.29
221112,4817.29
221115,2042.65
221116,4817.29
221201,4817.29
221202,4817.29
221204,4817.29
221206,4817.29
221207,4817.29
221208,4817.29
221302,4817.29
221305,4817.29
221307,4817.29
221311,4817.29
221313,4817.29
221403,4817.29
221405,4817.29
221601,2674.67
221602,2674.67
221603,2674.67
221701,1528.67
221705,2674.67
221706,2674.67
221709,1528.67
221711,1528.67
221712,1528.67
221713,1528.67
221715,1528.67
221716,1528.67
221717,1528.67
221718,1528.67
222001,1956.13
222002,1956.13
222003,1956.13
222105,1956.13
222109,1956.13
222125,1956.13
222127,1956.13
222128,1956.13
222129,1956.13
222131,1956.13
222132,1956.13
222133,1956.13
222135,1956.13
222136,1956.13
222137,1956.13
222138,1956.13
222139,1956.13
222141,1956.13
222142,1956.13
222143,1956.13
222144,1956.13
222145,1956.13
222146,1956.13
222148,1956.13
222149,1956.13
222161,1956.13
222162,1956.13
222165,1956.13
222170,1956.13
222175,1956.13
222180,1956.13
222181,1956.13
222201,1956.13
222202,1956.13
222203,1956.13
222204,1956.13
222301,1107.54
222302,1107.54
222303,1107.54
223101,1956.13
223102,1956.13
223103,1956.13
223104,1956.13
223105,1956.13
223221,2288.05
223222,2288.05
223223,2288.05
223224,2288.05
223225,2288.05
223226,2288.05
223227,2288.05
224122,2022.88
224125,2022.88
224129,2022.88
224132,2022.88
224133,2022.88
224137,2022.88
224139,2022.88
224143,2022.88
224145,2022.88
224146,2022.88
224147,2022.88
224149,2022.88
224151,2022.88
224152,2022.88
224155,2022.88
224157,2022.88
224159,2022.88
224168,2022.88
224171,2022.88
224172,2022.88
224176,2022.88
224181,2022.88
224183,2022.88
224186,2022.88
224189,2022.88
224190,2022.88
224195,2022.88
224202,2022.88
224203,2022.88
224205,2022.88
224206,2022.88
224210,2022.88
224227,2022.88
224230,2022.88
224231,2022.88
224232,2022.88
224234,2022.88
224235,2022.88
224238,2022.88
226001,5723.19
226002,5723.19
226003,5723.19
226004,5723.19
226005,5723.19
226006,5723.19
226007,5723.19
226008,5723.19
226009,5723.19
226010,5723.19
226011,5723.19
226012,5723.19
226013,5723.19
226014,5723.19
226015,5723.19
226016,5723.19
226017,5723.19
226018,5723.19
226019,5723.19
226020,5723.19
226021,5723.19
226022,5723.19
226023,5723.19
226024,5723.19
226025,5723.19
226026,5723.19
226028,5723.19
226029,5723.19
226030,5723.19
226031,5723.19
226101,5723.19
226102,5723.19
226103,5723.19
226104,5723.19
226201,5723.19
226202,5723.19
226203,5723.19
226301,5723.19
226302,5723.19
226303,5723.19
226401,5723.19
226501,5723.19
227304,1107.54
227405,1107.54
227406,1107.54
227407,1107.54
227408,1107.54
227409,1107.54
227411,1107.54
227412,1107.54
227413,1107.54
227801,1107.54
227805,1107.54
227806,1107.54
227807,1107.54
227808,1107.54
227809,1107.54
227811,1107.54
227812,1107.54
227813,1107.54
227814,1107.54
227815,1107.54
227816,1107.54
227817,1107.54
228001,1107.54
228118,1107.54
228119,1107.54
228120,1107.54
228121,1107.54
228125,1107.54
228131,1107.54
228132,1107.54
228133,1107.54
228141,1107.54
228142,1107.54
228145,1107.54
228151,1107.54
228155,1107.54
228159,1107.54
228161,1107.54
228171,1107.54
229408,1667.52
229410,1667.52
230001,1667.52
230002,1667.52
230121,1667.52
230124,1667.52
230125,1667.52
230126,1667.52
230127,1667.52
230128,1667.52
230129,1667.52
230130,1667.52
230131,1667.52
230132,1667.52
230133,1667.52
230134,1667.52
230135,1667.52
230136,1667.52
230137,1667.52
230138,1667.52
230139,1667.52
230141,1667.52
230142,1667.52
230143,1667.52
230144,1667.52
230201,1667.52
230202,1667.52
230204,1667.52
230301,1667.52
230302,1667.52
230304,1667.52
230306,1667.52
230401,1667.52
230402,1667.52
230403,1667.52
230404,1667.52
230405,1667.52
230501,1667.52
230502,1667.52
230503,1667.52
231001,1986.22
