pincode,premium_poi_per_km2
794102,15.0
481102,7.5
D919044,15.0
244221,15.0
443102,6.4
822123,15.0
D920456,15.0
795006,15.0
783362,15.0
D581407,15.0
793119,15.0
741123,15.0
203001,1.2
273001,1.2
D147530,15.0
487110,7.5
D951435,15.0
458883,7.5
851127,10.7
243001,1.2
484330,7.5
D552859,15.0
D415026,15.0
782141,15.0
782105,15.0
D516392,15.0
D988234,15.0
D466715,15.0
461005,7.5
D997854,15.0
787059,15.0
781372,15.0
D231483,15.0
804420,10.7
783349,15.0
811314,10.7
221003,1.2
D419945,15.0
D335855,15.0
D280075,15.0
385340,15.0
733124,15.0
455223,7.5
793151,15.0
210421,1.2
735302,15.0
389175,15.0
441807,6.4
470001,7.5
224227,1.2
431122,6.4
D763704,15.0
783360,15.0
241001,1.2
496111,15.0
759123,15.0
207001,1.2
752002,15.0
D195091,15.0
D913218,15.0
847224,10.7
D780233,15.0
272192,1.2
D563785,15.0
D622904,15.0
D107542,15.0
848505,10.7
193502,15.0
843314,10.7
D688159,15.0
D319295,15.0
D579372,15.0
D711895,15.0
788161,15.0
D214617,15.0
D400421,15.0
D903909,15.0
755008,15.0
D503810,15.0
824231,15.0
D189961,15.0
D343352,15.0
D511120,15.0
212600,1.2
821101,15.0
284403,1.2
D669852,15.0
D193421,15.0
D306068,15.0
D942323,15.0
271003,1.2
D417644,15.0
274001,1.2
D428839,15.0
274305,1.2
D515353,15.0
272175,1.2
193224,15.0
843329,10.7
493551,15.0
242307,1.2
761111,15.0
D334849,15.0
D728012,15.0
D171615,15.0
497346,15.0
D121313,15.0
D270808,15.0
848503,10.7
D262167,15.0
D686330,15.0
D269102,15.0
D469019,15.0
D851774,15.0
D280408,15.0
768109,15.0
D516565,15.0
802136,10.7
465223,7.5
D502821,15.0
D124782,15.0
224122,1.2
495004,15.0
D505553,15.0
D841188,15.0
D734014,15.0
803120,10.7
D853079,15.0
815315,10.7
D211490,15.0
D806886,15.0
229001,1.2
D350782,15.0
D148606,15.0
D693397,15.0
754215,15.0
425409,6.4
D559316,15.0
D889929,15.0
497116,15.0
D782578,15.0
262122,1.2
222501,1.2
D734885,15.0
243633,1.2
D815885,15.0
D167300,15.0
D712176,15.0
231310,15.0
D216230,15.0
D932553,15.0
233001,15.0
D441711,15.0
814133,10.7
460001,7.5
D492353,15.0
221201,1.2
D752523,15.0
D361537,15.0
394710,15.0
723101,15.0
D179875,15.0
D308156,15.0
D521581,15.0
D267960,15.0
494661,15.0
D778644,15.0
D263669,15.0
585323,16.4
D280374,15.0
D980667,15.0
496225,15.0
D847522,15.0
D740403,15.0
762014,15.0
495668,15.0
D898467,15.0
814111,10.7
D344259,15.0
D680704,15.0
D420466,15.0
764073,15.0
D529633,15.0
D573435,15.0
D577760,15.0
515001,15.0
515002,15.0
515003,15.0
