pincode,per_capita_income_karnataka
577412,208904.0
577413,208904.0
577414,208904.0
577415,208904.0
577416,208904.0
577417,208904.0
577418,208904.0
577419,208904.0
577421,208904.0
577422,208904.0
577423,208904.0
577424,208904.0
577425,208904.0
577426,208904.0
577427,208904.0
577428,208904.0
577429,208904.0
577430,208904.0
577431,208904.0
577432,208904.0
577433,208904.0
577434,208904.0
577435,208904.0
577436,208904.0
577448,208904.0
577451,208904.0
577452,208904.0
577453,208904.0
577501,133557.33333333334
577502,133557.33333333334
577511,133557.33333333334
577512,140309.83333333334
577513,140309.83333333334
577514,140309.83333333334
577515,133557.33333333334
577516,140309.83333333334
577517,133557.33333333334
577518,133557.33333333334
577519,133557.33333333334
577520,133557.33333333334
577521,133557.33333333334
577522,133557.33333333334
577523,133557.33333333334
577524,133557.33333333334
577525,140309.83333333334
577526,133557.33333333334
577527,133557.33333333334
577528,140309.83333333334
577529,133557.33333333334
577530,140309.83333333334
577531,133557.33333333334
577532,133557.33333333334
577533,133557.33333333334
577534,140309.83333333334
577535,133557.33333333334
577536,133557.33333333334
577537,133557.33333333334
577538,133557.33333333334
577539,133557.33333333334
577540,133557.33333333334
577541,133557.33333333334
577542,133557.33333333334
577543,133557.33333333334
577544,140309.83333333334
577545,133557.33333333334
577546,133557.33333333334
577547,334756.875
577548,334756.875
577549,334756.875
577550,334756.875
577551,140309.83333333334
577552,140309.83333333334
577553,140309.83333333334
577554,133557.33333333334
577555,133557.33333333334
577556,140309.83333333334
577557,133557.33333333334
577558,133557.33333333334
577566,140309.83333333334
577589,140309.83333333334
577596,133557.33333333334
577597,133557.33333333334
577598,133557.33333333334
577599,133557.33333333334
577601,140309.83333333334
580001,155492.4
580002,155492.4
580003,155492.4
580004,155492.4
580005,155492.4
580006,155492.4
580007,155492.4
580008,155492.4
580009,155492.4
580011,155492.4
580020,155492.4
580021,155492.4
580023,155492.4
580024,155492.4
580025,155492.4
580026,155492.4
580028,155492.4
580029,155492.4
580030,155492.4
580031,155492.4
580032,155492.4
580112,155492.4
580114,155492.4
580118,155492.4
581101,116075.33333333333
581102,116075.33333333333
581103,155492.4
581104,116075.33333333333
581105,155492.4
581106,116075.33333333333
581107,155492.4
581108,116075.33333333333
581109,116075.33333333333
581110,116075.33333333333
581111,116075.33333333333
581112,116075.33333333333
581113,155492.4
581115,116075.33333333333
581116,116075.33333333333
581117,155492.4
581118,116075.33333333333
581119,116075.33333333333
581120,116075.33333333333
581121,160119.27272727274
581123,116075.33333333333
581126,116075.33333333333
581128,116075.33333333333
581129,160119.27272727274
581145,116075.33333333333
581148,116075.33333333333
581186,160119.27272727274
581187,160119.27272727274
581193,116075.33333333333
581195,155492.4
581196,155492.4
581197,116075.33333333333
581198,116075.33333333333
581201,155492.4
581202,116075.33333333333
581203,116075.33333333333
581204,155492.4
581205,116075.33333333333
581206,155492.4
581207,155492.4
581208,116075.33333333333
581209,155492.4
581210,116075.33333333333
581211,116075.33333333333
581212,116075.33333333333
581213,116075.33333333333
581301,160119.27272727274
581302,160119.27272727274
581303,160119.27272727274
