pincode,district,psu_branch_count
442709,GADCHIROLI,1
441601,GONDIA,15
441602,GONDIA,1
441604,GONDIA,1
441606,GONDIA,1
441614,GONDIA,9
441701,GONDIA,4
441702,GONDIA,2
441801,GONDIA,2
441806,GONDIA,2
441807,GONDIA,5
441816,GONDIA,1
441901,GONDIA,4
441902,GONDIA,6
441911,GONDIA,9
441916,GONDIA,1
444614,GONDIA,1
431512,HINGOLI,10
431513,HINGOLI,15
431542,HINGOLI,2
431701,HINGOLI,4
431702,HINGOLI,2
431703,HINGOLI,1
431705,HINGOLI,4
406122,JALGAON,1
424016,JALGAON,1
424101,JALGAON,11
424103,JALGAON,1
424104,JALGAON,1
424105,JALGAON,3
424106,JALGAON,1
424112,JALGAON,1
424116,JALGAON,2
424125,JALGAON,1
424126,JALGAON,1
424201,JALGAON,9
424202,JALGAON,2
424203,JALGAON,1
424204,JALGAON,3
424205,JALGAON,2
424206,JALGAON,7
424208,JALGAON,1
425001,JALGAON,30
425002,JALGAON,9
425003,JALGAON,2
425101,JALGAON,1
425103,JALGAON,4
425104,JALGAON,1
425105,JALGAON,4
425106,JALGAON,1
425107,JALGAON,9
425109,JALGAON,3
425110,JALGAON,1
425111,JALGAON,4
425112,JALGAON,3
425113,JALGAON,1
425114,JALGAON,2
425115,JALGAON,2
425116,JALGAON,3
425120,JALGAON,1
425129,JALGAON,1
425132,JALGAON,1
425201,JALGAON,14
425203,JALGAON,2
425209,JALGAON,1
425301,JALGAON,5
425303,JALGAON,1
425304,JALGAON,1
425305,JALGAON,5
425306,JALGAON,5
425307,JALGAON,1
425308,JALGAON,1
425309,JALGAON,2
425310,JALGAON,4
425318,JALGAON,1
425401,JALGAON,8
425402,JALGAON,2
425420,JALGAON,1
425434,JALGAON,1
425455,JALGAON,1
425459,JALGAON,1
425501,JALGAON,1
425502,JALGAON,5
425503,JALGAON,3
425504,JALGAON,1
425505,JALGAON,1
425506,JALGAON,2
425507,JALGAON,1
425508,JALGAON,7
425511,JALGAON,1
431114,JALNA,5
431132,JALNA,3
431202,JALNA,4
431203,JALNA,25
431204,JALNA,4
431205,JALNA,2
431206,JALNA,4
431208,JALNA,2
431209,JALNA,2
431211,JALNA,3
431212,JALNA,2
431215,JALNA,1
431501,JALNA,4
431504,JALNA,3
431507,JALNA,1
081052,KOLHAPUR,1
415101,KOLHAPUR,3
415402,KOLHAPUR,1
416001,KOLHAPUR,17
416002,KOLHAPUR,10
416003,KOLHAPUR,5
416004,KOLHAPUR,2
416005,KOLHAPUR,6
416006,KOLHAPUR,2
416007,KOLHAPUR,2
416008,KOLHAPUR,14
416010,KOLHAPUR,1
416011,KOLHAPUR,3
416012,KOLHAPUR,8
416013,KOLHAPUR,2
416101,KOLHAPUR,7
416102,KOLHAPUR,1
416103,KOLHAPUR,2
416104,KOLHAPUR,1
416106,KOLHAPUR,2
416107,KOLHAPUR,1
416109,KOLHAPUR,4
416112,KOLHAPUR,8
416113,KOLHAPUR,1
416114,KOLHAPUR,4
416115,KOLHAPUR,14
416116,KOLHAPUR,1
416118,KOLHAPUR,3
416119,KOLHAPUR,3
416121,KOLHAPUR,3
416122,KOLHAPUR,6
416139,KOLHAPUR,1
416143,KOLHAPUR,1
416144,KOLHAPUR,1
416201,KOLHAPUR,1
416202,KOLHAPUR,1
416203,KOLHAPUR,6
416204,KOLHAPUR,1
416205,KOLHAPUR,3
416206,KOLHAPUR,2
416207,KOLHAPUR,1
416208,KOLHAPUR,3
416209,KOLHAPUR,7
416210,KOLHAPUR,2
416211,KOLHAPUR,4
416212,KOLHAPUR,3
416213,KOLHAPUR,1
416214,KOLHAPUR,1
416215,KOLHAPUR,1
416216,KOLHAPUR,6
416218,KOLHAPUR,1
416219,KOLHAPUR,3
416220,KOLHAPUR,1
416221,KOLHAPUR,2
416224,KOLHAPUR,1
416228,KOLHAPUR,1
416229,KOLHAPUR,5
416232,KOLHAPUR,1
416234,KOLHAPUR,2
416236,KOLHAPUR,1
416502,KOLHAPUR,8
416503,KOLHAPUR,3
416504,KOLHAPUR,2
416505,KOLHAPUR,3
416507,KOLHAPUR,4
416508,KOLHAPUR,4
416509,KOLHAPUR,3
416551,KOLHAPUR,1
416552,KOLHAPUR,1
412529,LATUR,1
413510,LATUR,1
413511,LATUR,4
413512,LATUR,33
413513,LATUR,3
413514,LATUR,1
413515,LATUR,4
413516,LATUR,4
413517,LATUR,14
413519,LATUR,3
413520,LATUR,5
413521,LATUR,4
413522,LATUR,1
413523,LATUR,1
413524,LATUR,1
413527,LATUR,3
413529,LATUR,1
413530,LATUR,1
413531,LATUR,8
413532,LATUR,1
413544,LATUR,3
413545,LATUR,1
413607,LATUR,2
431522,LATUR,1
431527,LATUR,1
400001,MUMBAI,47
400002,MUMBAI,25
400003,MUMBAI,23
400004,MUMBAI,24
400005,MUMBAI,27
400006,MUMBAI,13
400007,MUMBAI,16
400008,MUMBAI,11
400009,MUMBAI,7
400010,MUMBAI,14
400011,MUMBAI,8
400012,MUMBAI,17
400013,MUMBAI,9
400014,MUMBAI,11
400015,MUMBAI,6
400016,MUMBAI,18
400017,MUMBAI,7
400018,MUMBAI,13
400019,MUMBAI,18
400020,MUMBAI,12
400021,MUMBAI,31
400022,MUMBAI,21
400023,MUMBAI,21
400025,MUMBAI,20
400026,MUMBAI,14
400027,MUMBAI,4
400028,MUMBAI,24
400030,MUMBAI,3
400031,MUMBAI,11
400032,MUMBAI,1
400033,MUMBAI,1
400034,MUMBAI,3
400035,MUMBAI,1
400036,MUMBAI,7
400037,MUMBAI,7
400039,MUMBAI,1
600014,MUMBAI,1
400024,MUMBAI SUBURBAN,3
400029,MUMBAI SUBURBAN,6
400042,MUMBAI SUBURBAN,4
400049,MUMBAI SUBURBAN,14
400050,MUMBAI SUBURBAN,24
400051,MUMBAI SUBURBAN,38
400052,MUMBAI SUBURBAN,16
400053,MUMBAI SUBURBAN,19
400054,MUMBAI SUBURBAN,18
400055,MUMBAI SUBURBAN,9
400056,MUMBAI SUBURBAN,15
400057,MUMBAI SUBURBAN,17
400058,MUMBAI SUBURBAN,26
400059,MUMBAI SUBURBAN,13
400060,MUMBAI SUBURBAN,6
400061,MUMBAI SUBURBAN,9
400062,MUMBAI SUBURBAN,14
400063,MUMBAI SUBURBAN,16
400064,MUMBAI SUBURBAN,34
400066,MUMBAI SUBURBAN,19
400067,MUMBAI SUBURBAN,34
400068,MUMBAI SUBURBAN,25
400069,MUMBAI SUBURBAN,11
400070,MUMBAI SUBURBAN,12
400071,MUMBAI SUBURBAN,25
400072,MUMBAI SUBURBAN,13
400074,MUMBAI SUBURBAN,7
400075,MUMBAI SUBURBAN,3
400076,MUMBAI SUBURBAN,14
400077,MUMBAI SUBURBAN,16
400078,MUMBAI SUBURBAN,20
400079,MUMBAI SUBURBAN,3
400080,MUMBAI SUBURBAN,26
400081,MUMBAI SUBURBAN,14
400082,MUMBAI SUBURBAN,2
400083,MUMBAI SUBURBAN,9
400085,MUMBAI SUBURBAN,1
400086,MUMBAI SUBURBAN,24
400087,MUMBAI SUBURBAN,2
400088,MUMBAI SUBURBAN,7
400089,MUMBAI SUBURBAN,7
400090,MUMBAI SUBURBAN,2
400091,MUMBAI SUBURBAN,6
400092,MUMBAI SUBURBAN,31
400093,MUMBAI SUBURBAN,13
400094,MUMBAI SUBURBAN,3
400095,MUMBAI SUBURBAN,6
400096,MUMBAI SUBURBAN,7
400097,MUMBAI SUBURBAN,13
400098,MUMBAI SUBURBAN,3
400099,MUMBAI SUBURBAN,6
400101,MUMBAI SUBURBAN,27
400102,MUMBAI SUBURBAN,13
400103,MUMBAI SUBURBAN,6
400104,MUMBAI SUBURBAN,9
411115,NAGPUR,1
440001,NAGPUR,35
440002,NAGPUR,19
440004,NAGPUR,2
440006,NAGPUR,2
440007,NAGPUR,1
440008,NAGPUR,19
440009,NAGPUR,15
440010,NAGPUR,30
440011,NAGPUR,1
440012,NAGPUR,11
440013,NAGPUR,12
440014,NAGPUR,9
440015,NAGPUR,21
440016,NAGPUR,4
440017,NAGPUR,6
440018,NAGPUR,10
440019,NAGPUR,1
440020,NAGPUR,1
440021,NAGPUR,2
440022,NAGPUR,18
440023,NAGPUR,14
440024,NAGPUR,12
440025,NAGPUR,10
440026,NAGPUR,3
440027,NAGPUR,7
440028,NAGPUR,2
440030,NAGPUR,4
440032,NAGPUR,6
440033,NAGPUR,5
440034,NAGPUR,14
440035,NAGPUR,2
440037,NAGPUR,4
441001,NAGPUR,7
441002,NAGPUR,2
441101,NAGPUR,2
441102,NAGPUR,4
441103,NAGPUR,3
441104,NAGPUR,8
441105,NAGPUR,5
441106,NAGPUR,13
441107,NAGPUR,12
441108,NAGPUR,19
441109,NAGPUR,1
441110,NAGPUR,9
441111,NAGPUR,6
441112,NAGPUR,1
441113,NAGPUR,2
441117,NAGPUR,1
441118,NAGPUR,1
441121,NAGPUR,1
441122,NAGPUR,3
441201,NAGPUR,2
441202,NAGPUR,5
441203,NAGPUR,15
441204,NAGPUR,1
441210,NAGPUR,4
441214,NAGPUR,1
441301,NAGPUR,2
441302,NAGPUR,12
441303,NAGPUR,2
441304,NAGPUR,5
